shape_class	node_count	macs	mac_coverage_pct	weight_bytes	activation_bytes_contract
1x1_high_resolution	12	481689600	17.57892696234255	62976	55296000
1x1_low_resolution	40	718643200	26.226383805637756	1162240	36582400
3x3_stride1	31	564940800	20.61712160953313	496512	19020800
3x3_stride2	7	869990400	31.7496946156595	668592	37888000
grouped_or_depthwise_conv	8	13420800	0.4897827625429465	8496	11929600
matmul_attention	4	61440000	2.242210071727366	0	3584000
small_n_head_conv	4	30028800	1.0958801725567502	1344	3129600
