surface	mean_us	stddev_us	entry_adapter_us	exit_adapter_us	total_with_adapters_us	correctness
custom_internal	126826.026456	348.150158	8470.393000	464.950000	135761.369456	blocked_fixed_host_oracle
B120_ORT_ENABLE_ALL_intra4	61239.054678	149.827643	0	0	61239.054678	vendor_runtime_diagnostic
