fixture	fixture_kind	tensor_id	tensor_name	status	mismatches	max_abs_diff	custom_hash64	affinity_ok	first_mismatch_index	first_actual	first_expected
F1	random_4301	28	/model.8/m.0/Concat_output_0_QuantizeLinear_Output	0	1951	4	15373433487927352941	1	138	22	23
F1	random_4301	30	/model.8/Concat_output_0_QuantizeLinear_Output	0	2880	4	894623093983506653	1	1483	36	34
F1	random_4301	31	/model.8/cv2/act/Mul_output_0_QuantizeLinear_Output	0	5048	8	2528687672176307914	1	69	2	1
F2	random_4302	1	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	0	0	0	14243041587203494867	1	819200	-1	-1
F2	random_4302	2	/model.5/act/Mul_output_0_QuantizeLinear_Output	0	0	0	6999251115438833156	1	204800	-1	-1
F2	random_4302	4	/model.6/Split_output_1_QuantizeLinear_Output	0	0	0	11414281285750543557	1	102400	-1	-1
F2	random_4302	5	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	1	2	13480301329228423580	1	41194	16	14
F2	random_4302	7	/model.6/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	8	2	153691750834807300	1	2794	12	14
F2	random_4302	8	/model.6/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	87	1	8979012298971751927	1	1155	124	123
F2	random_4302	9	/model.6/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	0	50	2	4314941891359025165	1	1192	9	10
F2	random_4302	10	/model.6/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	0	75	3	3815336233294399466	1	1191	30	29
F2	random_4302	11	/model.6/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	386	2	2650284359624428327	1	1114	191	190
F2	random_4302	13	/model.6/m.0/Concat_output_0_QuantizeLinear_Output	0	305	2	1424175429443173836	1	1114	106	105
F2	random_4302	15	/model.6/Concat_output_0_QuantizeLinear_Output	0	421	2	2881408389917834054	1	30421	14	12
F2	random_4302	16	/model.6/cv2/act/Mul_output_0_QuantizeLinear_Output	0	616	3	8522797034335902261	1	1154	0	1
F2	random_4302	17	/model.7/act/Mul_output_0_QuantizeLinear_Output	0	588	3	7301367584055224416	1	358	4	5
