selection_group	image_id	model	boundary_index	boundary_label	sign_crossings	zero_crossings	cpu_lower_ep_not	ep_lower_cpu_not	cpu_upper_ep_not	ep_upper_cpu_not
large-loss	209356	B2	0	P3_bbox	22	20	0	0	0	0
large-loss	209356	B2	1	P3_confidence	0	0	0	0	0	0
large-loss	209356	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	209356	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	209356	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	209356	B2	5	P5_confidence	1	1	0	0	1	0
large-loss	209356	A1	0	P3_bbox	22	20	0	0	0	0
large-loss	209356	A1	1	P3_confidence	0	0	0	0	0	0
large-loss	209356	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	209356	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	209356	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	209356	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	157153	B2	0	P3_bbox	48	61	0	0	0	0
large-loss	157153	B2	1	P3_confidence	0	0	1	0	0	0
large-loss	157153	B2	2	P4_bbox	0	1	0	0	0	0
large-loss	157153	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	157153	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	157153	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	157153	A1	0	P3_bbox	48	61	0	0	0	0
large-loss	157153	A1	1	P3_confidence	0	0	0	0	0	0
large-loss	157153	A1	2	P4_bbox	0	2	0	0	0	0
large-loss	157153	A1	3	P4_confidence	0	0	2	0	0	0
large-loss	157153	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	157153	A1	5	P5_confidence	1	2	0	0	1	1
large-loss	555263	B2	0	P3_bbox	35	22	0	0	0	0
large-loss	555263	B2	1	P3_confidence	0	0	0	1	0	0
large-loss	555263	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	555263	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	555263	B2	4	P5_bbox	0	2	2	0	0	0
large-loss	555263	B2	5	P5_confidence	1	1	0	0	0	1
large-loss	555263	A1	0	P3_bbox	35	23	0	0	1	0
large-loss	555263	A1	1	P3_confidence	0	0	0	0	0	0
large-loss	555263	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	555263	A1	3	P4_confidence	0	0	1	0	0	0
large-loss	555263	A1	4	P5_bbox	0	2	0	0	0	0
large-loss	555263	A1	5	P5_confidence	1	0	0	0	0	1
large-loss	549409	B2	0	P3_bbox	48	51	0	0	7	0
large-loss	549409	B2	1	P3_confidence	0	0	2	5	0	0
large-loss	549409	B2	2	P4_bbox	0	0	1	2	0	0
large-loss	549409	B2	3	P4_confidence	1	1	0	0	1	0
large-loss	549409	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	549409	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	549409	A1	0	P3_bbox	48	53	0	0	1	0
large-loss	549409	A1	1	P3_confidence	0	0	1	5	0	0
large-loss	549409	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	549409	A1	3	P4_confidence	1	1	2	1	0	0
large-loss	549409	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	549409	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	239596	B2	0	P3_bbox	72	47	0	0	0	0
large-loss	239596	B2	1	P3_confidence	0	0	0	1	0	0
large-loss	239596	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	239596	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	239596	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	239596	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	239596	A1	0	P3_bbox	73	47	0	0	0	0
large-loss	239596	A1	1	P3_confidence	0	0	0	2	0	0
large-loss	239596	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	239596	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	239596	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	239596	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	254989	B2	0	P3_bbox	32	24	0	0	0	0
large-loss	254989	B2	1	P3_confidence	0	0	4	31	0	0
large-loss	254989	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	254989	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	254989	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	254989	B2	5	P5_confidence	2	2	0	0	1	1
large-loss	254989	A1	0	P3_bbox	32	24	0	0	0	0
large-loss	254989	A1	1	P3_confidence	0	0	2	26	0	0
large-loss	254989	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	254989	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	254989	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	254989	A1	5	P5_confidence	2	0	0	0	1	1
large-loss	294348	B2	0	P3_bbox	81	41	0	0	0	0
large-loss	294348	B2	1	P3_confidence	0	0	0	0	0	0
large-loss	294348	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	294348	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	294348	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	294348	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	294348	A1	0	P3_bbox	80	40	0	0	0	0
large-loss	294348	A1	1	P3_confidence	0	0	0	0	0	0
large-loss	294348	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	294348	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	294348	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	294348	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	95295	B2	0	P3_bbox	30	18	0	0	8	27
large-loss	95295	B2	1	P3_confidence	0	0	1	3	0	0
large-loss	95295	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	95295	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	95295	B2	4	P5_bbox	0	2	0	2	0	0
large-loss	95295	B2	5	P5_confidence	3	3	0	0	1	2
large-loss	95295	A1	0	P3_bbox	29	18	0	0	7	12
large-loss	95295	A1	1	P3_confidence	0	0	0	2	0	0
large-loss	95295	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	95295	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	95295	A1	4	P5_bbox	0	2	0	0	0	0
large-loss	95295	A1	5	P5_confidence	1	0	0	0	0	0
large-loss	117300	B2	0	P3_bbox	47	32	0	0	0	0
large-loss	117300	B2	1	P3_confidence	0	0	1	0	0	0
large-loss	117300	B2	2	P4_bbox	5	12	0	0	0	0
large-loss	117300	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	117300	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	117300	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	117300	A1	0	P3_bbox	46	33	0	0	0	0
large-loss	117300	A1	1	P3_confidence	0	0	0	0	0	0
large-loss	117300	A1	2	P4_bbox	5	12	0	0	0	0
large-loss	117300	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	117300	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	117300	A1	5	P5_confidence	0	0	0	0	1	0
large-loss	4731	B2	0	P3_bbox	113	123	0	1	0	0
large-loss	4731	B2	1	P3_confidence	0	0	5	33	0	0
large-loss	4731	B2	2	P4_bbox	4	7	1	0	0	0
large-loss	4731	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	4731	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	4731	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	4731	A1	0	P3_bbox	113	122	0	1	0	0
large-loss	4731	A1	1	P3_confidence	0	0	1	25	0	0
large-loss	4731	A1	2	P4_bbox	3	6	0	0	0	0
large-loss	4731	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	4731	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	4731	A1	5	P5_confidence	0	1	0	0	0	0
large-loss	143445	B2	0	P3_bbox	40	26	0	0	0	0
large-loss	143445	B2	1	P3_confidence	0	0	2	9	0	0
large-loss	143445	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	143445	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	143445	B2	4	P5_bbox	0	5	0	5	0	0
large-loss	143445	B2	5	P5_confidence	1	1	0	0	1	0
large-loss	143445	A1	0	P3_bbox	41	26	0	0	0	0
large-loss	143445	A1	1	P3_confidence	0	0	3	5	0	0
large-loss	143445	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	143445	A1	3	P4_confidence	0	1	0	0	1	0
large-loss	143445	A1	4	P5_bbox	0	3	0	0	0	0
large-loss	143445	A1	5	P5_confidence	0	0	0	0	1	0
large-loss	209018	B2	0	P3_bbox	12	20	0	0	0	0
large-loss	209018	B2	1	P3_confidence	0	0	2	1	0	0
large-loss	209018	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	209018	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	209018	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	209018	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	209018	A1	0	P3_bbox	12	19	0	0	0	0
large-loss	209018	A1	1	P3_confidence	0	0	1	2	0	0
large-loss	209018	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	209018	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	209018	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	209018	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	295575	B2	0	P3_bbox	69	85	0	0	0	0
large-loss	295575	B2	1	P3_confidence	0	0	1	6	0	0
large-loss	295575	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	295575	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	295575	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	295575	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	295575	A1	0	P3_bbox	68	87	0	0	0	0
large-loss	295575	A1	1	P3_confidence	0	0	3	6	0	0
large-loss	295575	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	295575	A1	3	P4_confidence	0	1	0	0	1	0
large-loss	295575	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	295575	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	18654	B2	0	P3_bbox	99	70	0	0	0	0
large-loss	18654	B2	1	P3_confidence	0	0	0	1	0	0
large-loss	18654	B2	2	P4_bbox	1	1	0	0	0	0
large-loss	18654	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	18654	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	18654	B2	5	P5_confidence	2	2	0	0	2	0
large-loss	18654	A1	0	P3_bbox	98	70	0	0	0	0
large-loss	18654	A1	1	P3_confidence	0	0	0	0	0	0
large-loss	18654	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	18654	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	18654	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	18654	A1	5	P5_confidence	2	2	0	0	1	0
large-loss	65420	B2	0	P3_bbox	36	38	0	0	2	1
large-loss	65420	B2	1	P3_confidence	0	0	1	4	0	0
large-loss	65420	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	65420	B2	3	P4_confidence	1	1	0	0	0	1
large-loss	65420	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	65420	B2	5	P5_confidence	3	3	0	0	1	2
large-loss	65420	A1	0	P3_bbox	36	38	0	0	1	0
large-loss	65420	A1	1	P3_confidence	0	0	1	7	0	0
large-loss	65420	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	65420	A1	3	P4_confidence	1	1	0	1	0	0
large-loss	65420	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	65420	A1	5	P5_confidence	3	2	0	0	1	1
large-loss	82740	B2	0	P3_bbox	88	93	0	0	0	0
large-loss	82740	B2	1	P3_confidence	0	0	0	0	0	0
large-loss	82740	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	82740	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	82740	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	82740	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	82740	A1	0	P3_bbox	88	95	0	0	0	0
large-loss	82740	A1	1	P3_confidence	0	0	0	0	0	0
large-loss	82740	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	82740	A1	3	P4_confidence	1	1	2	0	0	0
large-loss	82740	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	82740	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	212197	B2	0	P3_bbox	41	51	0	0	0	0
large-loss	212197	B2	1	P3_confidence	0	0	4	46	0	0
large-loss	212197	B2	2	P4_bbox	0	2	0	0	0	0
large-loss	212197	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	212197	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	212197	B2	5	P5_confidence	1	1	0	0	1	0
large-loss	212197	A1	0	P3_bbox	41	53	0	0	0	0
large-loss	212197	A1	1	P3_confidence	1	1	1	29	0	0
large-loss	212197	A1	2	P4_bbox	0	3	0	0	0	0
large-loss	212197	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	212197	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	212197	A1	5	P5_confidence	2	2	0	0	1	0
large-loss	217855	B2	0	P3_bbox	18	16	0	0	0	0
large-loss	217855	B2	1	P3_confidence	0	0	11	11	0	0
large-loss	217855	B2	2	P4_bbox	0	0	0	0	0	0
