selection_group	image_id	model	boundary_index	boundary_label	scale	zero_point	representable_min	representable_max	mean_abs_difference_qsteps	rms_difference_qsteps	max_abs_difference_qsteps
large-loss	209356	B2	0	P3_bbox	0.03251160681247711	-104	-0.7802785634994507	7.510181173682213	4.512187449977186	6.6940388017149095	48.99999770833209
large-loss	209356	B2	1	P3_confidence	0.10913866013288498	127	-27.83035833388567	0.0	3.15881449289179	4.139131844858064	25.999994129028792
large-loss	209356	B2	2	P4_bbox	0.051601748913526535	-126	-0.10320349782705307	13.055242475122213	2.863437413672843	5.267886160412488	49.99999956684139
large-loss	209356	B2	3	P4_confidence	0.5148698091506958	127	-131.29180133342743	0.0	2.0696875346611954	3.3355425393976557	71.00000208379592
large-loss	209356	B2	4	P5_bbox	0.06701355427503586	-128	0.0	17.088456340134144	2.884999896602411	6.792550954121054	81.00000455838834
large-loss	209356	B2	5	P5_confidence	0.4061771035194397	127	-103.57516139745712	0.0	3.995593775634597	6.588595753973952	71.0000071905274
large-loss	209356	A1	0	P3_bbox	0.033209558576345444	-104	-0.7970294058322906	7.6714080311357975	4.411953097889522	6.551818630274548	47.00000168262864
large-loss	209356	A1	1	P3_confidence	0.11170416325330734	122	-27.926040813326836	0.5585208162665367	3.1316581664707823	4.109565555321275	24.999986193261392
large-loss	209356	A1	2	P4_bbox	0.05494349077343941	-119	-0.49449141696095467	13.516098730266094	2.6917187261950666	4.956608639598825	47.999996745493746
large-loss	209356	A1	3	P4_confidence	0.42507243156433105	126	-107.96839761734009	0.42507243156433105	2.5208046885604314	4.0414870096387014	86.99999719555349
large-loss	209356	A1	4	P5_bbox	0.07443004846572876	-100	-2.0840413570404053	16.89562100172043	2.5893749079063593	6.120304185357021	72.99999279267159
large-loss	209356	A1	5	P5_confidence	0.35392484068870544	125	-89.54298469424248	0.7078496813774109	4.669999988377047	7.635161276073913	80.00000134728367
large-loss	157153	B2	0	P3_bbox	0.03251160681247711	-104	-0.7802785634994507	7.510181173682213	3.251054707552094	5.305889277891377	66.99999862499925
large-loss	157153	B2	1	P3_confidence	0.10913866013288498	127	-27.83035833388567	0.0	2.6985410545517845	3.6118141567190745	54.00000259415007
large-loss	157153	B2	2	P4_bbox	0.051601748913526535	-126	-0.10320349782705307	13.055242475122213	2.0879687586857325	4.080345399312126	51.99999797859316
large-loss	157153	B2	3	P4_confidence	0.5148698091506958	127	-131.29180133342743	0.0	1.550132756604707	2.6155708416450523	30.000002315328796
large-loss	157153	B2	4	P5_bbox	0.06701355427503586	-128	0.0	17.088456340134144	1.7212500041692576	3.5171010133812053	33.99999844347715
large-loss	157153	B2	5	P5_confidence	0.4061771035194397	127	-103.57516139745712	0.0	2.8277812907402073	6.781673394245274	149.00000044023636
large-loss	157153	A1	0	P3_bbox	0.033209558576345444	-104	-0.7970294058322906	7.6714080311357975	3.1844921847131467	5.202797455588872	66.00000381395826
large-loss	157153	A1	1	P3_confidence	0.11170416325330734	122	-27.926040813326836	0.5585208162665367	2.647662099870752	3.5443294732008703	53.999987593945015
large-loss	157153	A1	2	P4_bbox	0.05494349077343941	-119	-0.49449141696095467	13.516098730266094	1.9639062303691401	3.8393724825765414	49.00000020340664
large-loss	157153	A1	3	P4_confidence	0.42507243156433105	126	-107.96839761734009	0.42507243156433105	1.8970937349436279	3.177688332082423	38.00000336533581
large-loss	157153	A1	4	P5_bbox	0.07443004846572876	-100	-2.0840413570404053	16.89562100172043	1.5793750070071249	3.1909050543802295	29.999998398371464
large-loss	157153	A1	5	P5_confidence	0.35392484068870544	125	-89.54298469424248	0.7078496813774109	3.2251875044155116	7.7241990298435494	170.99999991579477
large-loss	555263	B2	0	P3_bbox	0.03251160681247711	-104	-0.7802785634994507	7.510181173682213	4.367851584199231	6.710791798183706	55.00000045833358
large-loss	555263	B2	1	P3_confidence	0.10913866013288498	127	-27.83035833388567	0.0	3.049308615266672	4.03376862905273	76.00000300375271
large-loss	555263	B2	2	P4_bbox	0.051601748913526535	-126	-0.10320349782705307	13.055242475122213	2.7306249474343978	5.431735477848879	98.99999646253802
large-loss	555263	B2	3	P4_confidence	0.5148698091506958	127	-131.29180133342743	0.0	1.9149843725598605	2.9346156383916626	32.99999976846712
large-loss	555263	B2	4	P5_bbox	0.06701355427503586	-128	0.0	17.088456340134144	2.969374858245241	7.27207824146957	86.99999633105328
large-loss	555263	B2	5	P5_confidence	0.4061771035194397	127	-103.57516139745712	0.0	3.808375023346285	5.659687504140083	60.00000058698183
large-loss	555263	A1	0	P3_bbox	0.033209558576345444	-104	-0.7970294058322906	7.6714080311357975	4.281093679631944	6.572308017719134	54.99999899042282
large-loss	555263	A1	1	P3_confidence	0.11170416325330734	122	-27.926040813326836	0.5585208162665367	2.993361314374539	3.9614950728826535	74.00000386855478
large-loss	555263	A1	2	P4_bbox	0.05494349077343941	-119	-0.49449141696095467	13.516098730266094	2.5614062447347345	5.099494433370614	92.99999830494465
large-loss	555263	A1	3	P4_confidence	0.42507243156433105	126	-107.96839761734009	0.42507243156433105	2.3417734459001935	3.556423560196908	39.0000016826679
large-loss	555263	A1	4	P5_bbox	0.07443004846572876	-100	-2.0840413570404053	16.89562100172043	2.678124945444528	6.521263254188184	78.00000160162854
large-loss	555263	A1	5	P5_confidence	0.35392484068870544	125	-89.54298469424248	0.7078496813774109	4.382906270098736	6.517483712453503	70.0000011788732
large-loss	549409	B2	0	P3_bbox	0.03251160681247711	-104	-0.7802785634994507	7.510181173682213	4.904843753616539	7.679045140255672	86.00000275000149
large-loss	549409	B2	1	P3_confidence	0.10913866013288498	127	-27.83035833388567	0.0	3.195769546583699	4.206889829049903	32.00000218454743
large-loss	549409	B2	2	P4_bbox	0.051601748913526535	-126	-0.10320349782705307	13.055242475122213	2.5920311879703335	5.201126620454044	99.00000108289652
large-loss	549409	B2	3	P4_confidence	0.5148698091506958	127	-131.29180133342743	0.0	1.9537578811151306	3.0932702211668284	58.00000138919728
large-loss	549409	B2	4	P5_bbox	0.06701355427503586	-128	0.0	17.088456340134144	2.655000018831147	5.8606739989457015	58.00000466956855
large-loss	549409	B2	5	P5_confidence	0.4061771035194397	127	-103.57516139745712	0.0	3.4771875290647722	4.935857324374581	30.9999989727818
large-loss	549409	A1	0	P3_bbox	0.033209558576345444	-104	-0.7970294058322906	7.6714080311357975	4.803320233219271	7.52049531324143	84.0000031409068
large-loss	549409	A1	1	P3_confidence	0.11170416325330734	122	-27.926040813326836	0.5585208162665367	3.1868241949579192	4.1955207314819	29.999998799414033
large-loss	549409	A1	2	P4_bbox	0.05494349077343941	-119	-0.49449141696095467	13.516098730266094	2.4376562415459113	4.88599725945582	93.00000264428633
large-loss	549409	A1	3	P4_confidence	0.42507243156433105	126	-107.96839761734009	0.42507243156433105	2.383054704848131	3.7543069090766816	69.9999988782214
large-loss	549409	A1	4	P5_bbox	0.07443004846572876	-100	-2.0840413570404053	16.89562100172043	2.3837499959959283	5.275296120707643	52.99999599592866
