selection_group	image_id	model	top_k	matched_members	cpu_only_members	ep_only_members	mean_rank_displacement	maximum_rank_displacement
matched-control	99317	A1	10	9	1	1	1.0	2
matched-control	99317	A1	50	41	9	9	6.048780487804878	28
matched-control	99317	A1	100	82	18	18	13.75609756097561	89
matched-control	99317	A1	300	254	46	46	39.803149606299215	260
matched-control	188727	B2	10	9	1	1	2.111111111111111	9
matched-control	188727	B2	50	42	8	8	7.0476190476190474	33
matched-control	188727	B2	100	85	15	15	14.823529411764707	80
matched-control	188727	B2	300	240	60	60	42.608333333333334	205
matched-control	188727	A1	10	9	1	1	1.1111111111111112	3
matched-control	188727	A1	50	43	7	7	7.930232558139535	35
matched-control	188727	A1	100	82	18	18	15.573170731707316	94
matched-control	188727	A1	300	243	57	57	44.76131687242798	209
matched-control	190580	B2	10	9	1	1	1.3333333333333333	4
matched-control	190580	B2	50	41	9	9	9.292682926829269	39
matched-control	190580	B2	100	86	14	14	17.151162790697676	61
matched-control	190580	B2	300	258	42	42	53.63178294573643	285
matched-control	190580	A1	10	8	2	2	1.25	3
matched-control	190580	A1	50	43	7	7	9.55813953488372	38
matched-control	190580	A1	100	91	9	9	15.472527472527473	64
matched-control	190580	A1	300	261	39	39	54.524904214559385	234
matched-control	195137	B2	10	9	1	1	1.1111111111111112	4
matched-control	195137	B2	50	41	9	9	9.804878048780488	43
matched-control	195137	B2	100	88	12	12	16.045454545454547	86
matched-control	195137	B2	300	246	54	54	41.0	226
matched-control	195137	A1	10	8	2	2	1.25	3
matched-control	195137	A1	50	42	8	8	7.619047619047619	37
matched-control	195137	A1	100	84	16	16	15.071428571428571	69
matched-control	195137	A1	300	246	54	54	43.40650406504065	287
