selection_group	image_id	model	provider	boundary_index	boundary_label	boundary_name	shape	dtype	bytes	sha256	minimum	maximum	mean	stddev	non_finite	lower_rail_count	upper_rail_count
large-loss	209356	B2	cpu	0	P3_bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	float32	102400	84458867044faa63f8c2e4308405036dfd53c1cf09026084ad938d662dfa0fab	-0.5526973009109497	7.185065269470215	2.732279244983802	1.325957989089248	0	0	0
large-loss	209356	B2	cpu	1	P3_confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	float32	2048000	76ec89df44e64d538cea4a652a1e8cdf585482fcf9a666356ab2d26d04d3ed63	-27.830358505249023	-4.147269248962402	-19.81335297413636	1.942498009944332	0	1	0
large-loss	209356	B2	cpu	2	P4_bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1x4x40x40	float32	25600	76820f4ba6f2b5343e2e4fb90c19b51c153818f5e755e2fcd2d5be8d661434b4	0.051601748913526535	10.165544509887695	3.675382939854753	1.8480675902596255	0	0	0
large-loss	209356	B2	cpu	3	P4_confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1x80x40x40	float32	512000	45da01652854ace408c42c679e82da8117b20691536f9b4276bcc73eed6b2ed8	-101.94422149658203	-2.059479236602783	-20.104869485400616	5.457117079279626	0	0	0
large-loss	209356	B2	cpu	4	P5_bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1x4x20x20	float32	6400	8a3fbf81cb2dcf372195bbf1431c27deb135052d629a4f55aa74e05dd6d3f562	0.20104065537452698	16.016239166259766	4.571497138086706	2.9855799618034644	0	0	0
large-loss	209356	B2	cpu	5	P5_confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1x80x20x20	float32	128000	f7d90877487fea4c6bb85c3ab447f04b95f2720956b366ef835a3d3291b98803	-65.39451599121094	0.0	-18.616251748481766	5.1947896508332745	0	0	1
large-loss	209356	B2	spacemit	0	P3_bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	float32	102400	cb15295ec2502d351057fdcde3b5c8909b91bfba22d063ae207b294408b59853	-0.5201857089996338	7.3151116371154785	2.723028679047711	1.3232203031572927	0	0	0
large-loss	209356	B2	spacemit	1	P3_confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	float32	2048000	c0af7d0d5ffed6ba4a339cab4f67cb4b97225e24037eb3877a59121e3451bfd0	-27.830358505249023	-4.365546226501465	-19.861725489039905	1.9584007673585118	0	1	0
large-loss	209356	B2	spacemit	2	P4_bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1x4x40x40	float32	25600	08b4c9df2f47881725ebdb3376008449b03269d1994883ac7b7f66eb1a809408	0.051601748913526535	10.37195110321045	3.657257827402791	1.8451573341698808	0	0	0
large-loss	209356	B2	spacemit	3	P4_confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1x80x40x40	float32	512000	36b3c78b04a156bcf1e636bb3daae1306bd5858d33d9614514b41be85985cf3c	-99.369873046875	-2.059479236602783	-20.168753561714663	5.497134939836009	0	0	0
large-loss	209356	B2	spacemit	4	P5_bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1x4x20x20	float32	6400	735fa164d0af45258e93b7faf2d1645b7e25d1d8be33576fd84f0081542bacc9	0.20104065537452698	16.083253860473633	4.543937813173979	2.9656005637846796	0	0	0
