selection_group	image_id	model	boundary_index	boundary_label	max_abs_difference	mean_abs_difference	rms_difference	cosine	largest_channel	largest_channel_rms	largest_spatial_y	largest_spatial_x	largest_spatial_rms	top100_jaccard	top100_mean_rank_displacement
large-loss	209356	B2	0	P3_bbox	1.5930686593055725	0.14669846423785202	0.21763395750882059	0.9974292569322498	2	0.23716939907428056	27	79	0.9181291671304146	nan	nan
large-loss	209356	B2	1	P3_confidence	2.837604522705078	0.3447487813625485	0.45173930366116544	0.9997463093222664	33	0.5534248399966032	59	11	1.955113259970136	0.7094017094017094	11.975903614457831
large-loss	209356	B2	2	P4_bbox	2.580087423324585	0.14775837844994386	0.27183213895464653	0.9978166572775984	0	0.333762505629146	17	29	1.302624788160049	nan	nan
large-loss	209356	B2	3	P4_confidence	36.55575752258301	1.0656196259725839	1.7173701506736982	0.996619713011718	0	2.728233147123612	15	22	19.04461594814769	0.6	13.32
large-loss	209356	B2	4	P5_bbox	5.428098201751709	0.1933340971544385	0.4551929820299378	0.9965226441179257	0	0.6371223645646362	12	16	2.7200406119285168	nan	nan
large-loss	209356	B2	5	P5_confidence	28.838577270507812	1.6229187066275625	2.676136739609619	0.9903682402600594	0	4.139769795568413	8	10	18.244259666647178	0.5267175572519084	12.942028985507246
large-loss	209356	A1	0	P3_bbox	1.5608493089675903	0.14651901484045082	0.21758300458369398	0.9974306845838179	2	0.2368528545920744	27	79	0.9147712076663459	nan	nan
large-loss	209356	A1	1	P3_confidence	2.7926025390625	0.3498192550810054	0.4590555816917764	0.9997420841940814	33	0.5645534299880571	43	9	1.8517302315288504	0.6528925619834711	12.582278481012658
large-loss	209356	A1	2	P4_bbox	2.6372873783111572	0.14789242299739272	0.27233338105734806	0.9978082594550787	0	0.33369973743690157	17	29	1.328053547203277	nan	nan
large-loss	209356	A1	3	P4_confidence	36.981300354003906	1.0715245784651488	1.71792471032278	0.9966428052907859	0	2.747333742442917	15	22	19.2531302088483	0.5625	13.541666666666666
large-loss	209356	A1	4	P5_bbox	5.4333930015563965	0.19272729989141227	0.4555345371411257	0.9965159115559459	0	0.6364965802733265	12	16	2.7210263001519146	nan	nan
large-loss	209356	A1	5	P5_confidence	28.313987731933594	1.6528290019026026	2.7022732382670327	0.9902466672516715	0	4.186610675606454	8	10	18.30119999820721	0.5503875968992248	11.507042253521126
large-loss	157153	B2	0	P3_bbox	2.178277611732483	0.10569701237778645	0.17250298599334257	0.9962627734121953	2	0.18527293044782991	61	44	1.140689537255654	nan	nan
large-loss	157153	B2	1	P3_confidence	5.893487930297852	0.29451515500736425	0.39418855771330563	0.9997680991885999	33	0.4562743508334133	20	62	4.357865896350126	0.7543859649122807	11.872093023255815
large-loss	157153	B2	2	P4_bbox	2.6832908391952515	0.10774283962498885	0.2105529587757675	0.9973076727099188	2	0.26177399730004336	28	25	1.3652538239422667	nan	nan
large-loss	157153	B2	3	P4_confidence	15.44609546661377	0.7981165565513074	1.346678460057913	0.9976888406526524	0	2.0595998843159653	21	23	11.51269509821543	0.6949152542372882	11.146341463414634
large-loss	157153	B2	4	P5_bbox	2.278460741043091	0.11534708057530224	0.23569343965100503	0.9979430571894449	2	0.26493670309670736	8	17	1.1431655418405913	nan	nan
large-loss	157153	B2	5	P5_confidence	60.52038860321045	1.14858001405932	2.7545604562893926	0.9894444283044118	0	4.266503353430398	11	18	39.02488013537835	0.6528925619834711	11.30379746835443
large-loss	157153	A1	0	P3_bbox	2.1918309926986694	0.10575557974414551	0.17278260686223967	0.9962506437525386	2	0.18554029815612827	61	44	1.1375182332712512	nan	nan
large-loss	157153	A1	1	P3_confidence	6.0320234298706055	0.295754879443557	0.39591635809793885	0.9997660930477262	33	0.4577124070310918	20	62	4.514441077957041	0.7699115044247787	11.724137931034482
large-loss	157153	A1	2	P4_bbox	2.692231059074402	0.10790386384818702	0.21094852657224136	0.9972974902642396	2	0.2627504030392866	28	25	1.3633848367068495	nan	nan
large-loss	157153	A1	3	P4_confidence	16.152753829956055	0.8064022468179465	1.350747706071879	0.9976813306867717	0	2.040043211255796	21	23	12.12006289553222	0.7391304347826086	10.258823529411766
large-loss	157153	A1	4	P5_bbox	2.2329013347625732	0.117552958317101	0.23749921784705935	0.9979047215119153	2	0.2678447664997325	8	17	1.12016598610727	nan	nan
large-loss	157153	A1	5	P5_confidence	60.52114772796631	1.1414739736914634	2.7337859110852314	0.9895813266838632	0	4.282563704249762	11	18	38.75186125260895	0.6666666666666666	11.3125
large-loss	555263	B2	0	P3_bbox	1.7881383895874023	0.14200587332074066	0.2181786243429449	0.9967994775437466	1	0.26123302429925077	5	48	1.0587507984494666	nan	nan
large-loss	555263	B2	1	P3_confidence	8.294538497924805	0.33279745660186744	0.44024010346087933	0.9997332274689407	9	0.5154617649963389	43	69	5.8656574463266145	0.8018018018018018	10.258426966292134
large-loss	555263	B2	2	P4_bbox	5.108572959899902	0.1409050229145214	0.28028705029265194	0.9971980761521377	1	0.3331611271657219	27	33	2.5607935651603224	nan	nan
large-loss	555263	B2	3	P4_confidence	16.990703582763672	0.9859676384264603	1.5109449936693626	0.9972615579696105	0	2.45317363444813	28	25	8.535627005511719	0.6666666666666666	10.125
large-loss	555263	B2	4	P5_bbox	5.83017897605896	0.19898836322594435	0.48732780992702834	0.9950229395390412	3	0.5493476461075085	14	15	2.92278203393362	nan	nan
large-loss	555263	B2	5	P5_confidence	24.37062644958496	1.5468747360985726	2.298835477256786	0.99277937891101	0	3.620106866461702	17	3	14.700090120050396	0.48148148148148145	10.246153846153845
large-loss	555263	A1	0	P3_bbox	1.8265256881713867	0.1421732313245593	0.21826344809622839	0.9967976438470811	1	0.2611985693689487	5	48	1.059327575267236	nan	nan
large-loss	555263	A1	1	P3_confidence	8.266108512878418	0.33437092093702814	0.4425154923484566	0.9997310748885853	9	0.5313419957625862	43	69	5.875283168419277	0.8181818181818182	10.744444444444444
large-loss	555263	A1	2	P4_bbox	5.109744548797607	0.14073260037461297	0.28018402534910397	0.997199733347995	1	0.3336629747154868	27	33	2.558857004933529	nan	nan
