field	actual	expected	status
branch_head_local	3e275c6496d603d3f75f363ed00aa633ffc00408	3e275c6496d603d3f75f363ed00aa633ffc00408	pass
branch_head_github	3e275c6496d603d3f75f363ed00aa633ffc00408	3e275c6496d603d3f75f363ed00aa633ffc00408	pass
branch_head_gitlab	3e275c6496d603d3f75f363ed00aa633ffc00408	3e275c6496d603d3f75f363ed00aa633ffc00408	pass
branch_tree	acdd6d64f35c7554f2559c781c5cbe0806acac1a	acdd6d64f35c7554f2559c781c5cbe0806acac1a	pass
version	2.1.2+riscy.2.dev1	2.1.2+riscy.2.dev1	pass
release_tag_object_local	604507c45c8eb2ff5c548d30d981203fedc61ea3	604507c45c8eb2ff5c548d30d981203fedc61ea3	pass
release_tag_peeled_local	12647b4a79fe5ec9a3973515a17cece4cb83daf4	12647b4a79fe5ec9a3973515a17cece4cb83daf4	pass
release_tag_object_github	604507c45c8eb2ff5c548d30d981203fedc61ea3	604507c45c8eb2ff5c548d30d981203fedc61ea3	pass
release_tag_peeled_github	12647b4a79fe5ec9a3973515a17cece4cb83daf4	12647b4a79fe5ec9a3973515a17cece4cb83daf4	pass
release_tag_object_gitlab	604507c45c8eb2ff5c548d30d981203fedc61ea3	604507c45c8eb2ff5c548d30d981203fedc61ea3	pass
release_tag_peeled_gitlab	12647b4a79fe5ec9a3973515a17cece4cb83daf4	12647b4a79fe5ec9a3973515a17cece4cb83daf4	pass
source_mutation	absent	absent	pass
