field	value
hostname	bf3
device_model	spacemit k1-x deb1 board
device_serial	92262f3b0dc4
boot_id	0a0691d1-7502-44c3-903b-444dba83c1d9
kernel	Linux 6.6.63 #2.2.7.2 SMP PREEMPT Fri Aug 15 12:32:44 UTC 2025 riscv64 GNU/Linux
allowed_cpu_list	0-7
memory_total_kib	16266200
data_mount	/data /dev/nvme0n1p1 ext4 rw,noatime
root_mount	/ /dev/mmcblk2p6 ext4 rw,noatime,errors=remount-ro
capture_start_utc	2026-08-18T10:29:00Z
capture_end_utc	2026-08-18T21:35:43Z
identity_status	exact-start-end-match
