pair	metric	replicates	seed	draw_matrix_sha256	point_delta	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_gt_zero	probability_lt_zero
A1_CPU-vs-B2_CPU	ar100	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0029856246629718086	-0.003101987816894272	-0.0030309345380433728	-0.006069628151769871	-0.00042938658745880493	0.0108	0.9892
A1_CPU-vs-B2_CPU	ar_small	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0040013181562233435	-0.003264186557811891	-0.003293458505450264	-0.007610513658707038	0.0012188046182381588	0.076	0.924
A1_CPU-vs-B2_CPU	ar_medium	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.001475023568889955	-0.0017242866616220404	-0.0016523518614544597	-0.006214786923078596	0.0024275203442737474	0.2175	0.7825
A1_CPU-vs-B2_CPU	ar_large	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0060209385557683515	-0.0061800553362970885	-0.00605816019067279	-0.010989412948648641	-0.0019919442564422744	0.0006	0.9994
A1_CPU-vs-B2_CPU	prediction_count	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-2554.0	-2552.4122	-2550.0	-2818.0	-2297.0	0.0	1.0
A1_EP-vs-A1_CPU	map50_95	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0013781620004063022	-0.0002732690534999129	-0.0002870116841138526	-0.005693136033320707	0.005185859867315742	0.4581	0.5419
A1_EP-vs-A1_CPU	map50	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.002049371834750291	-0.002181394914904166	-0.0021812015804591467	-0.008147774477454347	0.003952149661226669	0.2344	0.7656
A1_EP-vs-A1_CPU	map75	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.00020148905162570285	0.0009223588082906076	0.0009097427562134996	-0.007201565733866477	0.009247351722836545	0.5865	0.4135
A1_EP-vs-A1_CPU	ap_small	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0015718619183432148	-0.0013823517436296346	-0.0018160846997715696	-0.008540619442341458	0.007940524766945149	0.3248	0.6752
A1_EP-vs-A1_CPU	ap_medium	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.0016425926413661252	-0.001391673841097662	-0.0014192924565138432	-0.012329731266651172	0.009518997947980464	0.396	0.604
