selection_group	image_id	model	score_threshold	cpu_above_ep_below	ep_above_cpu_below	cpu_above_count	ep_above_count
matched-control	46345	A1	0.5	0	0	1	1
matched-control	99317	B2	0.001	29	17	147	136
matched-control	99317	B2	0.01	4	4	20	20
matched-control	99317	B2	0.05	2	2	7	7
matched-control	99317	B2	0.25	1	1	1	1
matched-control	99317	B2	0.5	0	1	0	1
matched-control	99317	A1	0.001	28	17	121	109
matched-control	99317	A1	0.01	5	2	17	14
matched-control	99317	A1	0.05	2	0	7	5
matched-control	99317	A1	0.25	1	0	2	1
matched-control	99317	A1	0.5	0	0	0	0
matched-control	188727	B2	0.001	2	3	9	10
matched-control	188727	B2	0.01	2	1	3	2
matched-control	188727	B2	0.05	1	1	2	2
matched-control	188727	B2	0.25	1	1	2	2
matched-control	188727	B2	0.5	1	1	2	2
matched-control	188727	A1	0.001	3	3	8	8
matched-control	188727	A1	0.01	2	1	3	2
matched-control	188727	A1	0.05	1	1	2	2
matched-control	188727	A1	0.25	1	1	2	2
matched-control	188727	A1	0.5	1	1	2	2
matched-control	190580	B2	0.001	9	8	27	27
matched-control	190580	B2	0.01	2	0	6	4
matched-control	190580	B2	0.05	1	0	3	2
matched-control	190580	B2	0.25	0	0	2	2
matched-control	190580	B2	0.5	0	0	2	2
matched-control	190580	A1	0.001	7	5	22	21
matched-control	190580	A1	0.01	4	0	6	2
matched-control	190580	A1	0.05	1	0	3	2
matched-control	190580	A1	0.25	0	0	2	2
matched-control	190580	A1	0.5	0	0	2	2
matched-control	195137	B2	0.001	0	0	2	2
matched-control	195137	B2	0.01	0	0	2	2
matched-control	195137	B2	0.05	0	0	2	2
matched-control	195137	B2	0.25	0	0	2	2
matched-control	195137	B2	0.5	0	0	2	2
matched-control	195137	A1	0.001	0	0	2	2
matched-control	195137	A1	0.01	0	0	2	2
matched-control	195137	A1	0.05	0	0	2	2
matched-control	195137	A1	0.25	0	0	2	2
matched-control	195137	A1	0.5	0	0	2	2
