selection_group	image_id	model	score_threshold	cpu_above_ep_below	ep_above_cpu_below	cpu_above_count	ep_above_count
large-loss	18654	A1	0.01	6	5	34	32
large-loss	18654	A1	0.05	1	0	15	14
large-loss	18654	A1	0.25	1	1	8	8
large-loss	18654	A1	0.5	2	0	5	3
large-loss	65420	B2	0.001	0	0	300	300
large-loss	65420	B2	0.01	18	10	113	101
large-loss	65420	B2	0.05	7	5	38	34
large-loss	65420	B2	0.25	1	3	12	15
large-loss	65420	B2	0.5	1	3	5	7
large-loss	65420	A1	0.001	0	0	300	300
large-loss	65420	A1	0.01	18	18	106	103
large-loss	65420	A1	0.05	6	9	34	35
large-loss	65420	A1	0.25	1	2	13	14
large-loss	65420	A1	0.5	2	2	6	6
large-loss	82740	B2	0.001	26	18	191	184
large-loss	82740	B2	0.01	5	4	19	19
large-loss	82740	B2	0.05	1	3	6	9
large-loss	82740	B2	0.25	0	1	4	5
large-loss	82740	B2	0.5	0	0	3	3
large-loss	82740	A1	0.001	18	21	176	178
large-loss	82740	A1	0.01	1	4	16	20
large-loss	82740	A1	0.05	1	2	6	7
large-loss	82740	A1	0.25	0	0	5	5
large-loss	82740	A1	0.5	1	0	3	2
large-loss	212197	B2	0.001	0	0	300	300
large-loss	212197	B2	0.01	20	14	142	136
large-loss	212197	B2	0.05	5	5	36	36
large-loss	212197	B2	0.25	0	1	8	9
large-loss	212197	B2	0.5	1	0	5	4
large-loss	212197	A1	0.001	0	0	300	300
large-loss	212197	A1	0.01	19	16	139	137
large-loss	212197	A1	0.05	5	5	32	32
large-loss	212197	A1	0.25	1	0	8	7
large-loss	212197	A1	0.5	1	2	4	5
large-loss	217855	B2	0.001	24	23	212	209
large-loss	217855	B2	0.01	5	11	49	54
large-loss	217855	B2	0.05	4	3	17	17
large-loss	217855	B2	0.25	0	0	3	3
large-loss	217855	B2	0.5	0	1	2	3
large-loss	217855	A1	0.001	15	30	209	224
large-loss	217855	A1	0.01	5	17	47	57
large-loss	217855	A1	0.05	4	5	18	20
large-loss	217855	A1	0.25	0	0	3	3
large-loss	217855	A1	0.5	0	0	3	3
large-loss	245971	B2	0.001	5	17	59	71
large-loss	245971	B2	0.01	2	2	11	12
large-loss	245971	B2	0.05	3	0	7	5
large-loss	245971	B2	0.25	1	0	4	4
large-loss	245971	B2	0.5	1	0	4	4
large-loss	245971	A1	0.001	8	20	59	68
large-loss	245971	A1	0.01	1	3	12	14
large-loss	245971	A1	0.05	2	2	6	6
large-loss	245971	A1	0.25	0	0	4	4
large-loss	245971	A1	0.5	0	0	4	4
large-loss	297620	B2	0.001	23	31	182	191
large-loss	297620	B2	0.01	8	8	40	40
large-loss	297620	B2	0.05	0	2	8	10
large-loss	297620	B2	0.25	1	1	2	2
large-loss	297620	B2	0.5	0	0	0	0
large-loss	297620	A1	0.001	19	31	167	183
large-loss	297620	A1	0.01	6	6	33	36
large-loss	297620	A1	0.05	0	0	8	10
large-loss	297620	A1	0.25	1	1	2	2
large-loss	297620	A1	0.5	0	0	0	0
large-loss	308310	B2	0.001	0	0	300	300
large-loss	308310	B2	0.01	7	11	55	60
large-loss	308310	B2	0.05	1	2	14	16
large-loss	308310	B2	0.25	0	3	6	9
large-loss	308310	B2	0.5	0	1	2	3
large-loss	308310	A1	0.001	0	0	300	300
large-loss	308310	A1	0.01	5	12	49	57
large-loss	308310	A1	0.05	0	2	11	14
large-loss	308310	A1	0.25	0	2	6	8
large-loss	308310	A1	0.5	0	0	3	3
large-loss	334032	B2	0.001	23	19	156	152
large-loss	334032	B2	0.01	3	6	23	26
large-loss	334032	B2	0.05	1	2	6	7
large-loss	334032	B2	0.25	0	0	4	4
large-loss	334032	B2	0.5	0	0	4	4
large-loss	334032	A1	0.001	22	24	151	154
large-loss	334032	A1	0.01	4	6	25	27
large-loss	334032	A1	0.05	0	2	6	8
large-loss	334032	A1	0.25	0	0	4	4
large-loss	334032	A1	0.5	0	0	4	4
large-loss	375194	B2	0.001	5	2	28	25
large-loss	375194	B2	0.01	3	1	11	9
large-loss	375194	B2	0.05	1	1	4	4
large-loss	375194	B2	0.25	0	0	2	2
large-loss	375194	B2	0.5	0	0	1	1
large-loss	375194	A1	0.001	4	3	25	24
large-loss	375194	A1	0.01	2	1	10	9
large-loss	375194	A1	0.05	1	1	4	4
large-loss	375194	A1	0.25	0	0	2	2
large-loss	375194	A1	0.5	0	0	1	1
large-loss	375759	B2	0.001	0	0	300	300
large-loss	375759	B2	0.01	11	9	55	55
large-loss	375759	B2	0.05	5	2	21	19
large-loss	375759	B2	0.25	0	1	9	10
large-loss	375759	B2	0.5	0	1	5	6
large-loss	375759	A1	0.001	0	0	300	300
large-loss	375759	A1	0.01	9	16	49	58
large-loss	375759	A1	0.05	5	3	19	18
large-loss	375759	A1	0.25	2	2	9	9
large-loss	375759	A1	0.5	1	2	5	6
large-loss	389157	B2	0.001	8	11	276	274
large-loss	389157	B2	0.01	6	3	42	40
large-loss	389157	B2	0.05	1	1	14	14
large-loss	389157	B2	0.25	0	0	7	7
large-loss	389157	B2	0.5	0	0	7	7
large-loss	389157	A1	0.001	13	12	262	265
large-loss	389157	A1	0.01	5	4	41	41
large-loss	389157	A1	0.05	4	2	16	14
large-loss	389157	A1	0.25	0	0	7	7
large-loss	389157	A1	0.5	0	0	7	7
large-loss	424632	B2	0.001	16	14	164	166
large-loss	424632	B2	0.01	10	3	33	26
large-loss	424632	B2	0.05	1	2	9	10
large-loss	424632	B2	0.25	3	1	7	5
large-loss	424632	B2	0.5	1	2	4	5
large-loss	424632	A1	0.001	16	18	148	154
large-loss	424632	A1	0.01	8	1	29	22
large-loss	424632	A1	0.05	1	2	9	10
large-loss	424632	A1	0.25	2	1	6	5
large-loss	424632	A1	0.5	1	0	4	3
large-loss	430175	B2	0.001	13	4	71	62
large-loss	430175	B2	0.01	3	3	20	20
large-loss	430175	B2	0.05	1	1	4	4
large-loss	430175	B2	0.25	1	1	4	4
large-loss	430175	B2	0.5	0	0	3	3
large-loss	430175	A1	0.001	11	4	68	61
large-loss	430175	A1	0.01	2	2	21	21
large-loss	430175	A1	0.05	0	0	5	5
large-loss	430175	A1	0.25	0	0	4	4
large-loss	430175	A1	0.5	0	0	3	3
large-loss	469014	B2	0.001	0	0	300	300
large-loss	469014	B2	0.01	7	9	84	87
large-loss	469014	B2	0.05	3	1	32	30
large-loss	469014	B2	0.25	0	0	17	17
large-loss	469014	B2	0.5	2	0	12	10
large-loss	469014	A1	0.001	0	0	300	300
large-loss	469014	A1	0.01	4	9	82	87
large-loss	469014	A1	0.05	2	2	31	31
large-loss	469014	A1	0.25	2	0	18	16
large-loss	469014	A1	0.5	1	0	12	11
large-loss	473793	B2	0.001	7	11	34	40
large-loss	473793	B2	0.01	6	3	10	8
large-loss	473793	B2	0.05	3	3	6	7
large-loss	473793	B2	0.25	0	1	1	2
large-loss	473793	B2	0.5	0	0	1	1
large-loss	473793	A1	0.001	10	14	32	37
large-loss	473793	A1	0.01	5	3	10	8
large-loss	473793	A1	0.05	2	3	6	7
large-loss	473793	A1	0.25	0	1	1	2
large-loss	473793	A1	0.5	0	0	1	1
large-loss	533239	B2	0.001	20	16	86	86
large-loss	533239	B2	0.01	5	6	18	20
large-loss	533239	B2	0.05	3	0	6	4
large-loss	533239	B2	0.25	0	0	2	2
large-loss	533239	B2	0.5	0	0	2	2
large-loss	533239	A1	0.001	11	13	75	78
large-loss	533239	A1	0.01	4	4	16	17
large-loss	533239	A1	0.05	2	0	5	4
large-loss	533239	A1	0.25	0	0	2	2
large-loss	533239	A1	0.5	0	0	2	2
large-loss	540520	B2	0.001	22	21	124	123
large-loss	540520	B2	0.01	4	2	21	19
large-loss	540520	B2	0.05	1	1	7	7
large-loss	540520	B2	0.25	1	0	4	3
large-loss	540520	B2	0.5	0	0	3	3
large-loss	540520	A1	0.001	20	15	120	117
large-loss	540520	A1	0.01	4	0	23	19
large-loss	540520	A1	0.05	1	1	7	7
large-loss	540520	A1	0.25	1	0	4	3
large-loss	540520	A1	0.5	0	0	3	3
large-loss	2471	B2	0.001	16	21	44	52
large-loss	2471	B2	0.01	1	0	5	4
large-loss	2471	B2	0.05	0	0	3	3
large-loss	2471	B2	0.25	1	0	3	2
large-loss	2471	B2	0.5	0	0	2	2
large-loss	2471	A1	0.001	10	17	33	43
large-loss	2471	A1	0.01	0	0	4	4
large-loss	2471	A1	0.05	0	0	3	3
large-loss	2471	A1	0.25	0	0	3	3
large-loss	2471	A1	0.5	0	0	2	2
small-loss	94439	B2	0.001	20	21	168	169
small-loss	94439	B2	0.01	4	4	27	27
small-loss	94439	B2	0.05	0	0	7	7
small-loss	94439	B2	0.25	0	0	3	3
small-loss	94439	B2	0.5	0	0	0	0
small-loss	94439	A1	0.001	21	21	163	168
small-loss	94439	A1	0.01	4	2	28	26
small-loss	94439	A1	0.05	0	1	7	8
small-loss	94439	A1	0.25	0	0	3	3
small-loss	94439	A1	0.5	0	0	0	0
small-loss	237759	B2	0.001	0	0	300	300
small-loss	237759	B2	0.01	13	11	169	170
small-loss	237759	B2	0.05	6	6	47	48
small-loss	237759	B2	0.25	2	1	7	7
small-loss	237759	B2	0.5	1	0	2	1
small-loss	237759	A1	0.001	0	0	300	300
small-loss	237759	A1	0.01	13	13	170	174
small-loss	237759	A1	0.05	8	5	50	49
small-loss	237759	A1	0.25	2	2	6	8
small-loss	237759	A1	0.5	1	0	2	1
small-loss	441012	B2	0.001	0	0	300	300
small-loss	441012	B2	0.01	9	20	113	125
small-loss	441012	B2	0.05	3	2	23	23
small-loss	441012	B2	0.25	1	0	9	8
small-loss	441012	B2	0.5	0	0	4	4
small-loss	441012	A1	0.001	0	0	300	300
small-loss	441012	A1	0.01	8	18	113	124
small-loss	441012	A1	0.05	2	2	23	23
small-loss	441012	A1	0.25	0	0	8	8
small-loss	441012	A1	0.5	0	2	2	4
small-loss	365947	B2	0.001	0	0	300	300
small-loss	365947	B2	0.01	14	21	147	153
small-loss	365947	B2	0.05	1	1	16	16
small-loss	365947	B2	0.25	0	0	5	5
small-loss	365947	B2	0.5	0	0	1	1
small-loss	365947	A1	0.001	0	0	300	300
small-loss	365947	A1	0.01	9	19	147	157
small-loss	365947	A1	0.05	1	5	15	19
small-loss	365947	A1	0.25	1	1	4	4
small-loss	365947	A1	0.5	0	0	1	1
small-loss	430122	B2	0.001	0	0	300	300
small-loss	430122	B2	0.01	15	12	166	163
