field	actual	expected	status
tree_sha256	27bfec346a38cf365754478ca386f4985303eb3d910f71726c7ec09f5432ebcd	27bfec346a38cf365754478ca386f4985303eb3d910f71726c7ec09f5432ebcd	pass
file_count	69	69	pass
byte_count	116456	116456	pass
