surface	mean_us	stddev_us	cv_pct	min_us	max_us	median_us	p90_us	p95_us	p99_us
jpeg_decode	22426.706242	30.7067104387	0.136920286498	22370.621	22958.819	22423.6255	22448.3819	22456.74755	22494.93039
resize_letterbox	1176.693324	14.8994492639	1.26621346106	1109.829	1243.961	1177.833	1188.6753	1191.6338	1225.23498
color_convert	509.176772	6.65598247424	1.30720465667	484.558	588.103	509.2465	513.0632	514.187	529.62575
input_quantize_layout	2333.046456	104.668630152	4.48635002027	2243.366	3573.999	2319.601	2339.8916	2356.6681	2920.23044
pure_graph	145647.23708	1558.396706	1.06998027374	144606.29	173222.85	145363.3255	146046.1851	148323.48195	149116.56796
executor_total	147980.283536	1558.44012267	1.05314038156	146932.614	175524.803	147694.8995	148365.1765	150633.83775	151442.50163
output_decode	5.744962	0.294357410517	5.12374860821	5.167	6.792	5.709	6.126	6.333	6.584
preloaded_image_pipeline	172265.633994	1559.5927877	0.905341797748	171205.327	199823.035	171976.6155	172678.2909	174922.63155	175713.61467
