surface	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	max_us	process_cpu_mean_us	voluntary_cs_mean	involuntary_cs_mean	output_hashes	cpu4_7_ime_count
stage55_condition_variable	500	162447.546000	3001.707583	1.847801	161702.500000	164140.300000	166485.750000	175538.580000	193996.981000	197231.000000	567992.118000	1208.572000	4.158000	0xd43f5e018b415631	0
stage55_frame_gated_epoch_spin	500	149603.240000	2020.644311	1.350669	149083.000000	151848.300000	153748.300000	159241.830000	162108.961000	162339.000000	739968.018000	0.204000	3.818000	0xd43f5e018b415631	0
stage55_frame_gated_epoch_spin_10000_soak	10000	149598.790900	2741.560503	1.832609	149062.500000	151383.100000	152636.150000	158975.130000	203354.276000	211671.000000	739916.079100	0.138900	3.562200	0xd43f5e018b415631	0
matched_b120_ort	500	455028.164774	2273.380418	0.499613	454921.342500	456821.809300	457913.059850	461742.152300	473370.187570	476225.750000	1819299.709446	0.000000	0.000000		0
