operation_index	resident_operation_index	kind	scope	name	samples	mean_us	median_us	p95_us	implementation	confidence
146	-1	lut1	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0_QuantizeLinear	50	322.56192	316.672	377.48535	stage55-selected-explicit-or-measured	50 complete profiled observations
147	-1	lut1	full_executor	/model.19/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear	50	29.02122	28.7085	31.56875	stage55-selected-explicit-or-measured	50 complete profiled observations
15	-1	lut1	fused_into_dense_conv	/model.3/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage55-selected-explicit-or-measured	50 complete profiled observations
150	-1	lut2	full_executor	/model.19/m.0/m/m.0/Add_output_0_QuantizeLinear	50	56.78095999999999	56.688500000000005	58.51349999999999	stage55-selected-explicit-or-measured	50 complete profiled observations
152	-1	lut1	fused_into_dense_conv	/model.19/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage55-selected-explicit-or-measured	50 complete profiled observations
154	-1	lut2	full_executor	/model.19/m.0/m/m.1/Add_output_0@/model.19/m.0/Concat_output_0_QuantizeLinear_Output	50	84.6973	84.6055	86.87889999999999	stage55-selected-explicit-or-measured	50 complete profiled observations
155	-1	concat	full_executor	/model.19/m.0/Concat	50	56.8143	55.813	61.04315	stage55-selected-explicit-or-measured	50 complete profiled observations
157	-1	concat	full_executor	/model.19/Concat	50	162.50102	161.3985	168.4652	stage55-selected-explicit-or-measured	50 complete profiled observations
159	-1	lut1	fused_into_dense_conv	/model.19/cv2/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage55-selected-explicit-or-measured	50 complete profiled observations
163	-1	lut1	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0_QuantizeLinear	50	20.29032	20.146500000000003	22.22515	stage55-selected-explicit-or-measured	50 complete profiled observations
164	-1	lut1	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0_QuantizeLinear	50	62.72848	61.730000000000004	64.13034999999999	stage55-selected-explicit-or-measured	50 complete profiled observations
165	-1	concat	full_executor	/model.21/Concat	50	98.89162	97.439	108.9232	stage55-selected-explicit-or-measured	50 complete profiled observations
169	-1	lut1	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0_QuantizeLinear	50	18.69618	18.542	20.869149999999998	stage55-selected-explicit-or-measured	50 complete profiled observations
17	-1	split	full_executor	/model.4/Split	50	88.75644	88.3555	91.4956	stage55-selected-explicit-or-measured	50 complete profiled observations
170	-1	lut1	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0_QuantizeLinear	50	42.01482	41.1465	47.25885	stage55-selected-explicit-or-measured	50 complete profiled observations
171	-1	split	full_executor	/model.22/Split	50	26.89216	26.125500000000002	28.1154	stage55-selected-explicit-or-measured	50 complete profiled observations
175	-1	lut1	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_QuantizeLinear	50	47.05154	45.480000000000004	53.59695	stage55-selected-explicit-or-measured	50 complete profiled observations
176	-1	lut1	full_executor	/model.22/m.0/m.0.0/cv1/act/Mul_output_0_QuantizeLinear	50	13.14692	13.125499999999999	13.79155	stage55-selected-explicit-or-measured	50 complete profiled observations
179	-1	lut1	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_QuantizeLinear	50	43.3833	42.7715	46.346500000000006	stage55-selected-explicit-or-measured	50 complete profiled observations
180	-1	lut2	full_executor	/model.22/m.0/m.0.0/Add_output_0_QuantizeLinear	50	52.23586	50.313	60.95944999999999	stage55-selected-explicit-or-measured	50 complete profiled observations
183	-1	split	full_executor	/model.22/m.0/m.0.1/attn/Split	50	227.58541999999997	227.171	228.35954999999998	stage55-selected-explicit-or-measured	50 complete profiled observations
184	-1	split	full_executor	/model.22/m.0/m.0.1/attn/Split	50	454.46576	452.778	454.2695	stage55-selected-explicit-or-measured	50 complete profiled observations
185	-1	reshape_split_transpose	full_executor	/model.22/m.0/m.0.1/attn/Transpose	50	225.91782	224.212	226.94774999999998	stage55-selected-explicit-or-measured	50 complete profiled observations
186	-1	reshape	full_executor	/model.22/m.0/m.0.1/attn/Reshape_2	50	25.953699999999998	25.417	31.14215	stage55-selected-explicit-or-measured	50 complete profiled observations
189	-1	softmax_transpose	full_executor	/model.22/m.0/m.0.1/attn/Transpose_1	50	3037.93464	3032.4875	3096.93835	stage55-selected-explicit-or-measured	50 complete profiled observations
19	-1	lut1	fused_into_dense_conv	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage55-selected-explicit-or-measured	50 complete profiled observations
191	-1	lut2	full_executor	/model.22/m.0/m.0.1/attn/Add_output_0_QuantizeLinear	50	1477.85662	1476.107	1491.3199	stage55-selected-explicit-or-measured	50 complete profiled observations
193	-1	lut2	full_executor	/model.22/m.0/m.0.1/Add_output_0_QuantizeLinear	50	76.1096	73.77250000000001	77.39694999999999	stage55-selected-explicit-or-measured	50 complete profiled observations
195	-1	lut1	fused_into_dense_conv	/model.22/m.0/m.0.1/ffn/ffn.0/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage55-selected-explicit-or-measured	50 complete profiled observations
197	-1	lut2	full_executor	/model.22/m.0/m.0.1/Add_1_output_0@/model.22/Concat_output_0_QuantizeLinear_Output	50	62.563559999999995	61.042500000000004	65.5241	stage55-selected-explicit-or-measured	50 complete profiled observations
198	-1	concat	full_executor	/model.22/Concat	50	93.27992	92.27250000000001	97.8638	stage55-selected-explicit-or-measured	50 complete profiled observations
2	-1	lut1	full_executor	/model.0/act/Mul_output_0_QuantizeLinear	50	897.07972	891.557	919.3401499999999	stage55-selected-explicit-or-measured	50 complete profiled observations
200	-1	lut1	fused_into_dense_conv	/model.22/cv2/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage55-selected-explicit-or-measured	50 complete profiled observations
203	-1	lut1	full_executor	/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul_output_0_QuantizeLinear	50	9.458440000000001	9.417	10.292	stage55-selected-explicit-or-measured	50 complete profiled observations
204	-1	lut1	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul_output_0_QuantizeLinear	50	33.77802	33.4795	34.001	stage55-selected-explicit-or-measured	50 complete profiled observations
