timestamp_utc	zone0_mC	zone1_mC	zone2_mC	zone3_mC	cpu0_khz	cpu1_khz	cpu2_khz	cpu3_khz	cpu4_khz
2026-07-15T09:56:48Z	64000	63000	71000	67000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:56:53Z	63000	63000	70000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:56:58Z	62000	62000	70000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:57:04Z	62000	62000	71000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:57:09Z	63000	62000	71000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:57:14Z	63000	62000	70000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:57:19Z	62000	61000	71000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:57:24Z	63000	61000	70000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:57:29Z	62000	61000	70000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:57:34Z	64000	62000	70000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:57:39Z	62000	62000	70000	69000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:57:44Z	63000	63000	70000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:57:49Z	62000	62000	69000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:57:54Z	62000	60000	70000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:57:59Z	63000	61000	69000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:58:05Z	62000	61000	69000	69000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:58:10Z	62000	63000	69000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:58:15Z	62000	63000	70000	67000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:58:20Z	62000	61000	69000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:58:25Z	62000	61000	69000	67000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:58:30Z	63000	61000	68000	67000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:58:35Z	61000	61000	67000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:58:40Z	60000	62000	68000	66000	1600000	1600000	1600000	1600000	1600000
