block	cycle	arm	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
0	0	control	0	33	162451	2192.96	19741.4	83812.1	15248.6	19527.3	7273.94	3769.54	2435.8	8365.59	802347	0	2	1	0	0xd43f5e018b415631
0	0	control	0	34	163237	2218.3	19826.7	84023.9	15126	20036.5	7374.24	3747.16	2393.84	8406.3	819222	0	0	1	0	0xd43f5e018b415631
0	0	control	0	35	163582	2229.21	19590.6	84134.8	15132	20187.8	7420.78	3965.67	2434.97	8402.97	819401	0	7	1	0	0xd43f5e018b415631
0	0	control	0	36	163788	2402.84	19764	84028.8	15176.3	20168.4	7388.35	3886.87	2395.43	8491.05	819519	0	5	1	0	0xd43f5e018b415631
0	0	control	0	37	172760	2224.05	28927.2	83910.6	15677.3	19688	7594.41	3812.16	2436.88	8404.47	851044	0	5	1	0	0xd43f5e018b415631
0	0	control	0	38	163182	2233.17	19732.4	83764.9	15198.5	20001.1	7435.15	3939.16	2424.13	8364.01	819106	0	1	1	0	0xd43f5e018b415631
0	0	control	0	39	163494	2259.13	19583.5	84240.5	15181.1	20118.9	7326.15	3881.2	2418.84	8399.34	819320	0	2	1	0	0xd43f5e018b415631
0	0	control	0	40	163334	2217.34	19632	83994.4	15119.1	20158.3	7460.4	3877.91	2404.88	8386.3	819270	0	1	1	0	0xd43f5e018b415631
0	0	control	0	41	162796	2252.51	19696.4	83984.8	15165.4	19519.5	7486.11	3796.2	2442.26	8366.09	818684	0	6	1	0	0xd43f5e018b415631
0	0	control	0	42	163758	2193.8	19834.5	84505.9	15177.6	19781.8	7507.36	3851.12	2479.26	8340.17	819329	0	8	1	0	0xd43f5e018b415631
0	0	control	0	43	166013	2271.59	19629.3	83658	15296.8	20235.5	10146.4	3865.29	2498.84	8320.25	819304	0	2	1	0	0xd43f5e018b415631
0	0	control	0	44	166985	2221.25	20048.8	86559.5	15123.7	20310.7	7540.03	4204	2399.13	8487.84	838867	0	2	1	0	0xd43f5e018b415631
0	0	control	0	45	163395	2246.01	19674.7	83929.5	15154.7	20192.5	7500.37	3805.49	2412.76	8392.38	819286	0	2	1	0	0xd43f5e018b415631
0	0	control	0	46	163213	2240.3	19739.5	84179.5	15207.7	19585.8	7291.82	3908.91	2434.09	8539.68	819669	0	6	1	0	0xd43f5e018b415631
0	0	control	0	47	163140	2235.21	19559.7	83994.4	15219	19730.8	7613.95	3849.24	2497.97	8357	818422	0	0	1	0	0xd43f5e018b415631
0	0	control	0	48	163208	2173.88	19970.7	83976.7	15198.3	19828	7434.11	3898.54	2475.34	8167.67	802765	0	10	1	0	0xd43f5e018b415631
0	0	control	0	49	163220	2200.13	19644.2	84224.9	15182.9	19648.3	7490.95	3953.92	2430.47	8357.63	802784	0	6	1	0	0xd43f5e018b415631
1	0	e2c4	0	0	148784	2280.67	19533.5	70277.6	15135.2	19552.5	7295.57	3776.99	2461.64	8383.26	740674	0	2	1	0	0xd43f5e018b415631
1	0	e2c4	0	1	148095	2186.96	19596.4	70155.7	15242.6	19014.5	7218.39	3818.83	2536.22	8235.29	756126	0	0	1	0	0xd43f5e018b415631
1	0	e2c4	0	2	150058	2160.04	19611.1	70289.6	15217.4	20365.6	7744.16	3794.91	2450.84	8339.21	741991	0	1	1	0	0xd43f5e018b415631
1	0	e2c4	0	3	149096	2279.05	19989	70045.2	15209.4	19495.4	7331.32	3889	2401.17	8372.63	740625	0	12	1	0	0xd43f5e018b415631
1	0	e2c4	0	4	150154	2217.42	19766	70138.9	15242	20434.1	7560.36	3902.58	2424.72	8382.5	758063	0	2	1	0	0xd43f5e018b415631
1	0	e2c4	0	5	149293	2217.25	19804.9	70344	15187.6	19715.7	7318.23	3899.2	2401.8	8317.05	741293	0	0	1	0	0xd43f5e018b415631
