arm	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	max_us	block_mean_cv_pct	process_cpu_mean_us	lut_mean_us	output_hash_count	output_hash
control	500	168597.054000	2151.621716	1.276191763	167897.000000	170889.800000	172487.750000	179179.740000	186519.000000	0.691943989	842929.548000	11045.489000	1	0xd43f5e018b415631
indexed	500	164582.280000	1714.693337	1.041845657	164264.000000	165425.000000	167021.400000	167696.350000	196898.000000	0.134792442	821404.866000	7474.015000	1	0xd43f5e018b415631
