run_id	phase	elapsed_ns
47	matmul_pack	5885501
47	matmul_compute	7009176
47	softmax_max_sum	1895123
47	softmax_normalize_transpose	22800752
48	matmul_pack	5809666
48	matmul_compute	7060883
48	softmax_max_sum	1899230
48	softmax_normalize_transpose	22802350
49	matmul_pack	5869625
49	matmul_compute	7059634
49	softmax_max_sum	1916368
49	softmax_normalize_transpose	22799757
50	matmul_pack	6051793
50	matmul_compute	7041510
50	softmax_max_sum	1921115
50	softmax_normalize_transpose	22750998
51	matmul_pack	6027752
51	matmul_compute	7022217
51	softmax_max_sum	1925856
51	softmax_normalize_transpose	22828206
52	matmul_pack	6048459
52	matmul_compute	7019175
52	softmax_max_sum	1946894
52	softmax_normalize_transpose	22731735
53	matmul_pack	6000542
53	matmul_compute	6972426
53	softmax_max_sum	1911733
53	softmax_normalize_transpose	22779704
54	matmul_pack	6104710
54	matmul_compute	7009884
54	softmax_max_sum	2022066
54	softmax_normalize_transpose	23427403
55	matmul_pack	5996710
55	matmul_compute	7052383
55	softmax_max_sum	1939747
55	softmax_normalize_transpose	22839016
56	matmul_pack	5954335
56	matmul_compute	7140551
56	softmax_max_sum	1963351
56	softmax_normalize_transpose	22991930
57	matmul_pack	6320378
57	matmul_compute	6990925
57	softmax_max_sum	1915008
57	softmax_normalize_transpose	22893322
58	matmul_pack	6205711
58	matmul_compute	7029216
58	softmax_max_sum	1895779
58	softmax_normalize_transpose	22870743
59	matmul_pack	6098919
59	matmul_compute	7074800
59	softmax_max_sum	1898779
59	softmax_normalize_transpose	22883242
60	matmul_pack	6052835
60	matmul_compute	7072592
60	softmax_max_sum	1933516
60	softmax_normalize_transpose	22899896
61	matmul_pack	6069919
61	matmul_compute	7065634
61	softmax_max_sum	1955434
61	softmax_normalize_transpose	23040417
62	matmul_pack	5928668
62	matmul_compute	7073674
62	softmax_max_sum	1908234
62	softmax_normalize_transpose	22859947
63	matmul_pack	5842167
63	matmul_compute	7073674
63	softmax_max_sum	1941397
63	softmax_normalize_transpose	22751536
64	matmul_pack	5976292
64	matmul_compute	7038008
64	softmax_max_sum	1915986
64	softmax_normalize_transpose	22865344
65	matmul_pack	5969376
65	matmul_compute	6987924
65	softmax_max_sum	1910014
65	softmax_normalize_transpose	22682603
66	matmul_pack	6088377
66	matmul_compute	7080883
66	softmax_max_sum	1962012
66	softmax_normalize_transpose	22778164
67	matmul_pack	6035542
67	matmul_compute	7034426
67	softmax_max_sum	1923179
67	softmax_normalize_transpose	22743750
68	matmul_pack	6109460
68	matmul_compute	7025134
68	softmax_max_sum	1902670
68	softmax_normalize_transpose	22867915
69	matmul_pack	6039002
69	matmul_compute	7016256
69	softmax_max_sum	1921293
69	softmax_normalize_transpose	22714803
