arm	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	max_us	block_mean_cv_pct	process_cpu_mean_us	input_mean_us	core_mean_us	dense_mean_us	depthwise_mean_us	attention_mean_us	lut_mean_us	concat_mean_us	transform_mean_us	head_mean_us	voluntary_cs_mean	involuntary_cs_mean	output_hash_count	output_hash
control	500	150257.210000	1937.735020	1.289612006	149895.500000	151973.000000	153240.850000	159510.240000	163851.000000	0.756689307	751128.660000	2225.957060	19755.711600	70770.326000	15328.394600	19976.127000	7502.668800	3909.107140	2442.236640	8262.586860	0.000000	4.650000	1	0xd43f5e018b415631
family_a	500	149503.818000	1761.169884	1.178009971	149102.500000	150637.800000	152012.800000	159087.760000	163462.000000	0.331422481	747099.744000	2206.554000	19675.665600	70291.646600	15305.524600	19897.134800	7445.225740	3886.624520	2410.614520	8298.923400	0.000000	3.446000	1	0xd43f5e018b415631
family_b	500	151407.074000	2832.975541	1.871098533	150766.000000	153338.900000	155998.250000	163273.460000	185170.000000	0.687759860	756259.454000	2235.608320	19822.337600	71836.536800	15332.440400	19922.947600	7533.902640	3897.257660	2446.613620	8293.999260	0.000000	4.406000	1	0xd43f5e018b415631
