arm	samples	blocks	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	max_us	process_cpu_mean_us	voluntary_cs_mean	involuntary_cs_mean	head_mean_us	temp_min_mC	temp_max_mC	cpu0_min_khz	cpu0_max_khz	output_hashes	v2_mean_improvement_pct	v2_p95_regression_pct	v2_p99_regression_pct	selection_threshold_pct	selected_route	decision
v1	1000	20	167119.807000	1616.395904	0.967208	166825.500000	167830.000000	169658.500000	172812.460000	189116.000000	835731.457000	0.000000	4.089000	7885.195500	55000	63000	1600000	1600000	0xd43f5e018b415631	0.157902887	-0.245994159	2.301645379	0.500000000	v1	v2-rejected-full-model-gate
v2	1000	20	166855.920000	2027.748047	1.215269	166493.000000	168019.600000	169241.150000	176789.990000	198246.000000	834024.426000	0.000000	5.559000	7529.842470	58000	63000	1600000	1600000	0xd43f5e018b415631	0.157902887	-0.245994159	2.301645379	0.500000000	v1	v2-rejected-full-model-gate
