block	cycle	arm	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
0	0	control	0	33	153216	2160.36	19671	73041.7	15487.9	20436.7	7579.9	4001.18	2421.08	8330.99	761117	0	2	1	0	0xd43f5e018b415631
0	0	control	0	34	149907	2223.95	20354	70549.8	15280.8	19237.1	7449.11	4198.14	2505.66	8022.66	741774	0	2	1	0	0xd43f5e018b415631
0	0	control	0	35	150403	2189.07	19547.7	70792.2	15223.3	20317.6	7511.11	3939.22	2451.08	8347.83	758204	0	3	1	0	0xd43f5e018b415631
0	0	control	0	36	149081	2196.49	19785.6	70443.5	15337.7	19368.3	7374.77	3878.56	2393.49	8217.08	740910	0	3	1	0	0xd43f5e018b415631
0	0	control	0	37	150358	2199.66	19721.4	70680	15290.1	20391.5	7312.02	3952.39	2422.91	8304.62	758146	0	7	1	0	0xd43f5e018b415631
0	0	control	0	38	149210	2207.32	19612.1	70543.7	15232.4	19544.5	7439.6	3879.97	2381.07	8285.37	741087	0	2	1	0	0xd43f5e018b415631
0	0	control	0	39	149865	2196.7	19635	70336.2	15205.3	20436.6	7338.82	3907.39	2437.87	8280.03	757813	0	1	1	0	0xd43f5e018b415631
0	0	control	0	40	149333	2161.11	19625.4	70704	15168.1	19767.3	7369.86	3735.8	2442.2	8273.99	741004	0	5	1	0	0xd43f5e018b415631
0	0	control	0	41	150225	2204.07	19681.7	70496.2	15231.4	20418.4	7434.61	3862.3	2519.53	8291.49	758119	0	2	1	0	0xd43f5e018b415631
0	0	control	0	42	149786	2208.28	19627.3	71062.9	15250.8	19361.6	7778.86	3840.8	2396.66	8169.99	741369	0	4	1	0	0xd43f5e018b415631
0	0	control	0	43	150385	2207.91	19645.9	70086.1	15252.9	20518.2	7647.77	4009.02	2441.24	8489.7	757918	0	12	1	0	0xd43f5e018b415631
0	0	control	0	44	149153	2225.28	19620	70635.5	15163.5	19510.9	7359.44	3868.06	2399.66	8285.62	741091	0	1	1	0	0xd43f5e018b415631
0	0	control	0	45	150488	2202.16	19558.2	70474.4	15331.9	20379.8	7714.03	3985.18	2482.53	8275.58	758371	0	2	1	0	0xd43f5e018b415631
0	0	control	0	46	149113	2293.74	19530.2	70312.2	15232.5	19548.4	7448.44	3947.18	2381.04	8336.7	741054	0	1	1	0	0xd43f5e018b415631
0	0	control	0	47	152033	2199.78	19903.5	73104.7	15290.4	19338.4	7563.61	3976.64	2482.41	8087.91	759851	0	3	1	0	0xd43f5e018b415631
0	0	control	0	48	150257	2189.99	19524	70602.1	15298.7	20363.5	7501.32	3893.39	2520.83	8279.24	758145	0	2	1	0	0xd43f5e018b415631
