phase	samples	mean_us	p95_us
matmul_compute	70	7046.381142857143	7120.751249999999
matmul_pack	70	6014.870442857143	6297.96495
softmax_max_sum	70	1926.8219857142856	1992.5019000000002
softmax_normalize_transpose	70	22856.539614285713	23021.24205
