block	cycle	position	arm	run	timestamp_start_utc	timestamp_end_utc	temp_start_mC	temp_end_mC	cpu0_start_khz	cpu0_end_khz	repeat	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
1	0	0	v1	0	2026-07-15T07:03:24Z	2026-07-15T07:03:35Z	55000	58000	1600000	1600000	0	167328	2203.39	19651.1	82723.8	15167.9	22221	11210.7	3738.47	2417.93	7906.82	838933	0	8	1	0	0xd43f5e018b415631
1	0	0	v1	1	2026-07-15T07:03:24Z	2026-07-15T07:03:35Z	55000	58000	1600000	1600000	0	166905	2300.39	19549.2	82627.9	15298.3	21679	10983.3	3962.39	2459.48	7958.16	838228	0	13	1	0	0xd43f5e018b415631
1	0	0	v1	2	2026-07-15T07:03:24Z	2026-07-15T07:03:35Z	55000	58000	1600000	1600000	0	167525	2997.82	19603	82566.6	15308.5	21690.3	11172.6	3711.42	2421.94	7966.32	838945	0	13	1	0	0xd43f5e018b415631
1	0	0	v1	3	2026-07-15T07:03:24Z	2026-07-15T07:03:35Z	55000	58000	1600000	1600000	0	166704	2259.97	19767.5	82728.5	15249.3	21189.7	10964.6	4120.94	2423.52	7918.74	838081	0	16	1	0	0xd43f5e018b415631
1	0	0	v1	4	2026-07-15T07:03:24Z	2026-07-15T07:03:35Z	55000	58000	1600000	1600000	0	167074	2254.14	19511.8	83005.5	15278	21870.5	10998.4	3768.97	2442.81	7858.24	822613	0	9	1	0	0xd43f5e018b415631
1	0	0	v1	5	2026-07-15T07:03:24Z	2026-07-15T07:03:35Z	55000	58000	1600000	1600000	0	166894	2165.05	19639.5	82809.4	15234.9	22074.4	10677.1	3874.22	2423.43	7912.03	822444	0	9	1	0	0xd43f5e018b415631
1	0	0	v1	6	2026-07-15T07:03:24Z	2026-07-15T07:03:35Z	55000	58000	1600000	1600000	0	167436	2546.48	19546.5	82485.7	15217	22258.5	10881.8	4081.1	2416.18	7916.53	838969	0	9	1	0	0xd43f5e018b415631
1	0	0	v1	7	2026-07-15T07:03:24Z	2026-07-15T07:03:35Z	55000	58000	1600000	1600000	0	167040	2219.35	19670.7	82707.4	15241.8	21703.1	11013.4	3987.06	2484.1	7924.11	838391	0	10	1	0	0xd43f5e018b415631
1	0	0	v1	8	2026-07-15T07:03:24Z	2026-07-15T07:03:35Z	55000	58000	1600000	1600000	0	166501	2298.93	19625.7	82429.3	15242	21326.5	11189.4	3982.93	2393.31	7924.86	837978	0	10	1	0	0xd43f5e018b415631
1	0	0	v1	9	2026-07-15T07:03:24Z	2026-07-15T07:03:35Z	55000	58000	1600000	1600000	0	166619	2164.97	19577.5	82663.4	15378.3	21757.7	11019	3784.43	2510.69	7676.23	822017	0	15	1	0	0xd43f5e018b415631
