fold	role	resolution	shape_class	operation_index	kind	m	n	k	kernel	stride	selected_route	mean_us
hold-resolution-384	training	512	dense_3x3s2_k144	3	conv_dense	16384	32	144	3x3	2x2	p3-segmented-n16	2129.12
hold-resolution-384	training	640	dense_3x3s2_k144	3	conv_dense	25600	32	144	3x3	2x2	p3-segmented-n16	3330.88
hold-resolution-384	training	416	dense_3x3s2_k576	14	conv_dense	2704	64	576	3x3	2x2	p3-segmented-n16	1748.8
hold-resolution-384	training	448	dense_3x3s2_k576	14	conv_dense	3136	64	576	3x3	2x2	p3-segmented-n16	2017.95
hold-resolution-384	training	480	dense_3x3s2_k576	14	conv_dense	3600	64	576	3x3	2x2	p3-segmented-n16	2307.15
hold-resolution-384	training	512	dense_3x3s2_k576	14	conv_dense	4096	64	576	3x3	2x2	p3-segmented-n16	3330.93
hold-resolution-384	training	640	dense_3x3s2_k576	14	conv_dense	6400	64	576	3x3	2x2	p3-segmented-n16	3899.11
hold-resolution-384	training	416	depthwise_c64	128	conv_grouped	2704	64	576	3x3	1x1	depthwise-v2-c8	615.676
hold-resolution-384	training	448	depthwise_c64	128	conv_grouped	3136	64	576	3x3	1x1	depthwise-v2-c8	718.572
hold-resolution-384	training	480	depthwise_c64	128	conv_grouped	3600	64	576	3x3	1x1	depthwise-v2-c8	798.331
hold-resolution-384	training	512	depthwise_c64	128	conv_grouped	4096	64	576	3x3	1x1	depthwise-v2-c8	922.95
hold-resolution-384	training	640	depthwise_c64	128	conv_grouped	6400	64	576	3x3	1x1	depthwise-v2-c8	1414.34
hold-resolution-384	training	416	depthwise_c128	162	conv_grouped	676	128	1152	3x3	1x1	depthwise-v2-c8	328.101
hold-resolution-384	training	448	depthwise_c128	162	conv_grouped	784	128	1152	3x3	1x1	depthwise-v2-c8	378.539
hold-resolution-384	training	480	depthwise_c128	162	conv_grouped	900	128	1152	3x3	1x1	depthwise-v2-c8	428.642
hold-resolution-384	training	512	depthwise_c128	162	conv_grouped	1024	128	1152	3x3	1x1	depthwise-v2-c8	479.449
hold-resolution-384	training	640	depthwise_c128	162	conv_grouped	1600	128	1152	3x3	1x1	depthwise-v2-c8	731.832
hold-resolution-384	training	416	depthwise_c80	173	conv_grouped	676	80	720	3x3	1x1	depthwise-v2-c8	201.259
hold-resolution-384	training	448	depthwise_c80	173	conv_grouped	784	80	720	3x3	1x1	depthwise-v2-c8	231.056
hold-resolution-384	training	480	depthwise_c80	173	conv_grouped	900	80	720	3x3	1x1	depthwise-v2-c8	266.606
hold-resolution-384	training	512	depthwise_c80	173	conv_grouped	1024	80	720	3x3	1x1	depthwise-v2-c8	305.211
hold-resolution-384	training	640	depthwise_c80	173	conv_grouped	1600	80	720	3x3	1x1	depthwise-v2-c8	464.099
hold-resolution-384	training	416	depthwise_c256	202	conv_grouped	169	256	2304	3x3	1x1	depthwise-v2-c8	182.188
hold-resolution-384	training	448	depthwise_c256	202	conv_grouped	196	256	2304	3x3	1x1	depthwise-v2-c8	197.891
hold-resolution-384	training	480	depthwise_c256	202	conv_grouped	225	256	2304	3x3	1x1	depthwise-v2-c8	239.958
hold-resolution-384	training	512	depthwise_c256	202	conv_grouped	256	256	2304	3x3	1x1	depthwise-v2-c8	255.108
hold-resolution-384	training	640	depthwise_c256	202	conv_grouped	400	256	2304	3x3	1x1	depthwise-v2-c8	389.36
hold-resolution-416	training	384	dense_1x1_k32	5	conv_dense	9216	32	32	1x1	1x1	family-a-weight-stationary-n16	722.751
hold-resolution-416	training	448	dense_1x1_k32	5	conv_dense	12544	32	32	1x1	1x1	family-a-weight-stationary-n16	842.553
