surface	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
stage54_condition_variable	0	0	179468	2360.49	22340.5	86854.6	15537.3	21815.6	13602.4	5977.97	3204.89	7601.23	642677	1200	8	1	0	0xd43f5e018b415631
stage54_condition_variable	0	1	178709	2326.74	21701.6	87192.2	15676.7	21897.5	12893.4	5883.93	3283.97	7679.57	640087	1225	5	1	0	0xd43f5e018b415631
stage54_condition_variable	0	2	181180	2360.16	21733.4	89304.5	15629.9	21825.1	13361.9	5817.43	3348.35	7630.73	643798	1194	14	1	0	0xd43f5e018b415631
stage54_condition_variable	0	3	178562	2369.91	21706.4	86616.2	15695.4	21646.8	13738.7	5804.68	3209.64	7602.94	641187	1206	5	1	0	0xd43f5e018b415631
stage54_condition_variable	0	4	179319	2354.91	21839.2	87157.6	15645.7	21979.7	13415.9	5899.22	3283.72	7571.56	641124	1211	8	1	0	0xd43f5e018b415631
stage54_condition_variable	0	5	179779	2335.36	22210.1	87096.8	15734.6	22077.3	13297.8	6054.31	3232.06	7567.86	642472	1215	8	1	0	0xd43f5e018b415631
stage54_condition_variable	0	6	178844	2325.99	21877.1	86544.4	15659.9	22136	13112.2	6077.35	3374.14	7568.44	640000	1206	4	1	0	0xd43f5e018b415631
stage54_condition_variable	0	7	179508	2416.95	21851.2	86806.4	15699.9	22321.9	13177.5	6008.85	3400.19	7661.36	641437	1225	4	1	0	0xd43f5e018b415631
stage54_condition_variable	0	8	179391	2385.66	21804.8	86794.9	15739.5	22267.6	13318.6	6051.64	3182.6	7666.82	641182	1211	7	1	0	0xd43f5e018b415631
stage54_condition_variable	0	9	179109	2376.74	22163	86727.7	15577.3	21880.3	13428.4	5911.72	3261.73	7615.82	641281	1204	11	1	0	0xd43f5e018b415631
stage54_condition_variable	0	10	178853	2399.78	21872	86767.9	15791.6	21877.3	13317.9	5740.6	3311.23	7594.23	641235	1227	7	1	0	0xd43f5e018b415631
stage54_condition_variable	0	11	178938	2308.61	21846.7	86978.9	15707.6	22073.9	13166.2	5916.56	3203.76	7570.48	640105	1227	6	1	0	0xd43f5e018b415631
stage54_condition_variable	0	12	179192	2365.82	22310.6	86568.4	15678.4	22181.1	12973.9	6014.89	3369.6	7559.19	639877	1230	6	1	0	0xd43f5e018b415631
