category_id	class_name	instances	ap50_95	ap50
1	person	11004	0.5027760788093696	0.7477266191110208
2	bicycle	316	0.23901136809819318	0.44258587730736354
3	car	1932	0.34414055329856985	0.5471523860873344
4	motorcycle	371	0.40388655749340474	0.6383710205515924
5	airplane	143	0.6653981303791895	0.8629882127658308
6	bus	285	0.6129242187056969	0.7461745153849261
7	train	190	0.6737875001321997	0.8636428464365065
8	truck	415	0.29223766572027354	0.4293559321857246
9	boat	430	0.20683233090123787	0.37824512383775627
10	traffic light	637	0.200713743128313	0.39901593520344875
11	fire hydrant	101	0.622143385531442	0.8048468163437406
13	stop sign	75	0.6058314289087917	0.687438841836009
14	parking meter	60	0.44291680656778165	0.5899768946624807
15	bench	413	0.19131608258845714	0.2882025348680703
16	bird	440	0.28527266919497785	0.4495366279289347
17	cat	202	0.6649081655620995	0.85045381335164
18	dog	218	0.6027491500723877	0.735330700560828
19	horse	273	0.5507001696867131	0.745792539803311
20	sheep	361	0.4692893466420672	0.7061592678019909
21	cow	380	0.4992381077607222	0.7210282303327716
22	elephant	255	0.6204610102884981	0.8294715403518645
23	bear	71	0.7228372295100399	0.8771574183998867
24	zebra	268	0.6463848019735625	0.8755955000849687
25	giraffe	232	0.6676909967568305	0.8621300454194876
27	backpack	371	0.09583561919345154	0.1802834715456155
28	umbrella	413	0.3526628113730271	0.528318884686876
31	handbag	540	0.08469282659930566	0.1671098852049116
32	tie	254	0.27862166781628345	0.4554776974270597
33	suitcase	303	0.3854929387703788	0.5521892575092402
34	frisbee	115	0.5776446792669692	0.77766235845996
35	skis	241	0.1702736844110298	0.315724680759643
36	snowboard	69	0.2773729933786048	0.3686432482148275
37	sports ball	263	0.35720603867312634	0.5315786401337126
38	kite	336	0.40846796394277596	0.6161158846137902
39	baseball bat	146	0.24198249641065375	0.4501352960103835
40	baseball glove	148	0.30998475118459007	0.5176298134147839
41	skateboard	179	0.4459848203981681	0.6544236064432232
42	surfboard	269	0.30528778822170943	0.5013927196995734
43	tennis racket	225	0.40629172357503923	0.6605144433941457
44	bottle	1025	0.29213702489751187	0.450971271859509
46	wine glass	343	0.2643334554237348	0.4154866131739317
47	cup	899	0.3277137135643119	0.46895730491408344
48	fork	215	0.2512996835626386	0.3768446865207392
49	knife	326	0.11734639504217786	0.18986040498603782
50	spoon	253	0.10389025027478192	0.16094592575306482
51	bowl	626	0.36183344039335297	0.49108966125634773
52	banana	379	0.22890007390954661	0.3970004456156673
53	apple	239	0.1481321105705954	0.20765592729510798
54	sandwich	177	0.3434555405098815	0.47137980056760836
55	orange	287	0.2659724283315433	0.3426957770558611
56	broccoli	316	0.18614833362635952	0.32983741840400377
57	carrot	371	0.1800897875646149	0.3021587540518885
58	hot dog	127	0.33702603897725153	0.47881810369427674
59	pizza	285	0.49789166164096105	0.6504915176961815
60	donut	338	0.4399342569000568	0.5844376327805422
61	cake	316	0.331578916583372	0.49944952327927566
62	chair	1791	0.25025526231484757	0.40053313926652945
63	couch	261	0.42777429616451373	0.6024837498828297
64	potted plant	343	0.21231613947822658	0.35535816518247887
65	bed	163	0.44425243399753483	0.611227960947111
67	dining table	697	0.30066580876157006	0.43685752275782136
70	toilet	179	0.6328983509112368	0.7800226566881221
72	tv	288	0.5283463391172585	0.7027218207505974
73	laptop	231	0.5639037667927627	0.6840392068670487
74	mouse	106	0.5049637992788378	0.6962408149621946
75	remote	283	0.18363448640145616	0.31268178368574356
76	keyboard	153	0.47771148892143833	0.6215684162195059
77	cell phone	262	0.28825382393268606	0.42145413353330635
78	microwave	55	0.5300584175120102	0.6729538783744428
79	oven	143	0.31585017467479165	0.46161839809069194
80	toaster	9	0.25443691167146265	0.41768033946251765
81	sink	225	0.3209172193438692	0.4873296952038763
82	refrigerator	126	0.5665119970078459	0.6912760547193181
84	book	1161	0.11510341807395318	0.24950396490157
85	clock	267	0.45072795773381047	0.6477241551191675
86	vase	277	0.320345741172761	0.46333782168074744
87	scissors	36	0.2795256579158221	0.3416793602437167
88	teddy bear	191	0.4270249844582103	0.588941320400785
89	hair drier	11	0.0013369206485865977	0.0021672167216721674
90	toothbrush	57	0.1535227461512336	0.24466093427789398
