resolution	shape_class	operation_index	kind	m	n	k	kernel	stride	selected_route	design_role
512	dense_1x1_k384	90	conv_dense	1024	128	384	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_k384	90	conv_dense	1600	128	384	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
384	dense_1x1_n80_k256	206	conv_dense	144	80	256	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
416	dense_1x1_n80_k256	206	conv_dense	169	80	256	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
448	dense_1x1_n80_k256	206	conv_dense	196	80	256	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
480	dense_1x1_n80_k256	206	conv_dense	225	80	256	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
512	dense_1x1_n80_k256	206	conv_dense	256	80	256	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_n80_k256	206	conv_dense	400	80	256	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
384	dense_3x3s1_k72	9	conv_dense	9216	16	72	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
416	dense_3x3s1_k72	9	conv_dense	10816	16	72	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
448	dense_3x3s1_k72	9	conv_dense	12544	16	72	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
480	dense_3x3s1_k72	9	conv_dense	14400	16	72	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
512	dense_3x3s1_k72	9	conv_dense	16384	16	72	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_3x3s1_k72	9	conv_dense	25600	16	72	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
384	dense_3x3s1_k144	113	conv_dense	2304	16	144	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
416	dense_3x3s1_k144	113	conv_dense	2704	16	144	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
448	dense_3x3s1_k144	113	conv_dense	3136	16	144	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
