resolution	shape_class	operation_index	operation_name	kind	output_h	output_w	m	n	k	kernel	stride	input_c	output_c	working_set_bytes	packed_weight_bytes	mean_us	median_us	p95_us	max_us	output_hash	correctness_status	selected_route	scheduler	workers	tails
416	dense_3x3s1_k2304	201	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	conv_dense	13	13	169	16	2304	3x3	1x1	256	16	45968	36864	323.209	321.942	335.056	337.631	0x425bdd4f23d1fc19	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=1;N%16=0
448	dense_3x3s1_k2304	201	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	conv_dense	14	14	196	16	2304	3x3	1x1	256	16	53312	36864	338.247	334.026	351.455	362.38	0x2b56f6b657115309	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	dense_3x3s1_k2304	201	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	conv_dense	15	15	225	16	2304	3x3	1x1	256	16	61200	36864	401.013	400.381	411.4	426.798	0x16f9b0d65450d483	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=9;N%16=0
512	dense_3x3s1_k2304	201	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	conv_dense	16	16	256	16	2304	3x3	1x1	256	16	69632	36864	425.867	422.423	436.673	447.757	0x6a3b5e2e36ef9927	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_3x3s1_k2304	201	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	conv_dense	20	20	400	16	2304	3x3	1x1	256	16	108800	36864	625.195	621.427	644.414	664.761	0x7e0f94f12d2f0db4	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	dense_3x3s2_k144	3	/model.1/conv/Conv	conv_dense	96	96	9216	32	144	3x3	2x2	16	32	884736	4608	1169.06	1153.58	1232.23	1384.19	0x15f33127a16474cb	exact-component-contract	p3-segmented-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	dense_3x3s2_k144	3	/model.1/conv/Conv	conv_dense	104	104	10816	32	144	3x3	2x2	16	32	1038336	4608	1429.95	1427.46	1473.03	1569.73	0xcba7e2c3d127eafc	exact-component-contract	p3-segmented-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
448	dense_3x3s2_k144	3	/model.1/conv/Conv	conv_dense	112	112	12544	32	144	3x3	2x2	16	32	1204224	4608	1629.08	1626.61	1657.32	1659.03	0x901883cb14a55569	exact-component-contract	p3-segmented-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	dense_3x3s2_k144	3	/model.1/conv/Conv	conv_dense	120	120	14400	32	144	3x3	2x2	16	32	1382400	4608	1867.23	1868.28	1914.99	1915.74	0x57c03baf55713797	exact-component-contract	p3-segmented-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
512	dense_3x3s2_k144	3	/model.1/conv/Conv	conv_dense	128	128	16384	32	144	3x3	2x2	16	32	1572864	4608	2129.12	2120.57	2180.37	2216.03	0x547dbdbf875a8d3	exact-component-contract	p3-segmented-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_3x3s2_k144	3	/model.1/conv/Conv	conv_dense	160	160	25600	32	144	3x3	2x2	16	32	2457600	4608	3330.88	3327.01	3368.75	3390.72	0xf72f3b2dbf6a8b1b	exact-component-contract	p3-segmented-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	dense_3x3s2_k576	14	/model.3/conv/Conv	conv_dense	48	48	2304	64	576	3x3	2x2	64	64	737280	36864	1547.31	1551.57	1579.66	1589.36	0x22451c041543acf1	exact-component-contract	p3-segmented-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	dense_3x3s2_k576	14	/model.3/conv/Conv	conv_dense	52	52	2704	64	576	3x3	2x2	64	64	865280	36864	1748.8	1745.42	1779.2	1813.4	0x82a727a757377592	exact-component-contract	p3-segmented-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
448	dense_3x3s2_k576	14	/model.3/conv/Conv	conv_dense	56	56	3136	64	576	3x3	2x2	64	64	1003520	36864	2017.95	2014.76	2074.32	2098.78	0xb27af10d3128c6e9	exact-component-contract	p3-segmented-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	dense_3x3s2_k576	14	/model.3/conv/Conv	conv_dense	60	60	3600	64	576	3x3	2x2	64	64	1152000	36864	2307.15	2296.89	2348.67	2481.75	0x49c30ef4a9ce26a1	exact-component-contract	p3-segmented-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
512	dense_3x3s2_k576	14	/model.3/conv/Conv	conv_dense	64	64	4096	64	576	3x3	2x2	64	64	1310720	36864	3330.93	3332.7	3461.04	3482.22	0x5e45812f346ab1fe	exact-component-contract	p3-segmented-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_3x3s2_k576	14	/model.3/conv/Conv	conv_dense	80	80	6400	64	576	3x3	2x2	64	64	2048000	36864	3899.11	3893.35	3955.98	3960.06	0x13f2ea8c9022fb79	exact-component-contract	p3-segmented-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	depthwise_c64	128	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	conv_grouped	48	48	2304	64	576	3x3	1x1	64	64	294912	576	525.467	517.925	555.284	556.55	0x448366962958706	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	depthwise_c64	128	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	conv_grouped	52	52	2704	64	576	3x3	1x1	64	64	346112	576	615.676	602.635	646.815	687.428	0x89955d1f9c8ad9d	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
448	depthwise_c64	128	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	conv_grouped	56	56	3136	64	576	3x3	1x1	64	64	401408	576	718.572	701.594	755.27	811.638	0x2df56bbc9b6dafc6	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	depthwise_c64	128	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	conv_grouped	60	60	3600	64	576	3x3	1x1	64	64	460800	576	798.331	787.867	840.603	843.888	0x478fb3b350c4f1ab	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
512	depthwise_c64	128	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	conv_grouped	64	64	4096	64	576	3x3	1x1	64	64	524288	576	922.95	916.16	966.686	981.807	0xb33b4fa132394a0a	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	depthwise_c64	128	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	conv_grouped	80	80	6400	64	576	3x3	1x1	64	64	819200	576	1414.34	1401.73	1476.87	1506.4	0x6b0e024978cc9a50	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	depthwise_c128	162	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	conv_grouped	24	24	576	128	1152	3x3	1x1	128	128	147456	1152	281.736	277.921	293.165	299.379	0xe4cca042532d472f	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	depthwise_c128	162	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	conv_grouped	26	26	676	128	1152	3x3	1x1	128	128	173056	1152	328.101	323.817	346.085	349.172	0xded045d97203f3da	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
448	depthwise_c128	162	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	conv_grouped	28	28	784	128	1152	3x3	1x1	128	128	200704	1152	378.539	373.464	398.736	399.923	0x9277e6a3fdd7114f	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	depthwise_c128	162	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	conv_grouped	30	30	900	128	1152	3x3	1x1	128	128	230400	1152	428.642	422.673	447.615	453.632	0x55c5cbe67e52a4f4	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
512	depthwise_c128	162	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	conv_grouped	32	32	1024	128	1152	3x3	1x1	128	128	262144	1152	479.449	473.404	505.769	512.3	0x608e66e0aa11c6a0	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	depthwise_c128	162	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	conv_grouped	40	40	1600	128	1152	3x3	1x1	128	128	409600	1152	731.832	721.823	770.755	773.804	0xd1cf9eb6ee35f35e	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	depthwise_c80	173	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	conv_grouped	24	24	576	80	720	3x3	1x1	80	80	92160	720	171.153	168.377	180.753	185.503	0x744c7fc8fa1d7b8c	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	depthwise_c80	173	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	conv_grouped	26	26	676	80	720	3x3	1x1	80	80	108160	720	201.259	197.815	213.555	225.628	0x666f6827d1a72904	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
448	depthwise_c80	173	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	conv_grouped	28	28	784	80	720	3x3	1x1	80	80	125440	720	231.056	226.921	243.231	245.171	0xbf7e2f02d9165792	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	depthwise_c80	173	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	conv_grouped	30	30	900	80	720	3x3	1x1	80	80	144000	720	266.606	264.567	277.604	278.713	0x2d1fe2aaa57d28c3	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
512	depthwise_c80	173	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	conv_grouped	32	32	1024	80	720	3x3	1x1	80	80	163840	720	305.211	299.005	328.53	337.714	0x24dab5d6b73a77a7	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	depthwise_c80	173	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	conv_grouped	40	40	1600	80	720	3x3	1x1	80	80	256000	720	464.099	458.736	491.135	495.924	0x889ee628f8857bec	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	depthwise_c256	202	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	conv_grouped	12	12	144	256	2304	3x3	1x1	256	256	73728	2304	147.875	147.002	151.1	157.711	0x3d1fc69a92bf042f	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	depthwise_c256	202	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	conv_grouped	13	13	169	256	2304	3x3	1x1	256	256	86528	2304	182.188	180.92	187.538	190.586	0xb31107e9fb4a1cc1	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=1;N%16=0
448	depthwise_c256	202	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	conv_grouped	14	14	196	256	2304	3x3	1x1	256	256	100352	2304	197.891	196.003	204.469	206.17	0x64788c62258f6d42	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	depthwise_c256	202	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	conv_grouped	15	15	225	256	2304	3x3	1x1	256	256	115200	2304	239.958	234.753	270.263	292.588	0x3f6d46299df29a23	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=9;N%16=0
512	depthwise_c256	202	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	conv_grouped	16	16	256	256	2304	3x3	1x1	256	256	131072	2304	255.108	254.108	261.111	264.712	0xc57ee56072fd1e4f	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	depthwise_c256	202	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	conv_grouped	20	20	400	256	2304	3x3	1x1	256	256	204800	2304	389.36	384.714	402.48	402.756	0xc9044b6f5f52c00c	exact-component-contract	depthwise-v2-c8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_1x1_n_tail_k384	63	/model.8/cv2/conv/Conv	conv_dense	20	20	400	4	384	1x1	1x1	384	4	156800	98304	116.048	116.043	119.462	121.085	0x8ed9d280a1b2ff9a	exact-component-contract	m12n4	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=4
640	dense_1x1_n_tail_k384	63	/model.8/cv2/conv/Conv	conv_dense	20	20	400	8	384	1x1	1x1	384	8	156800	98304	115.993	115.439	120.239	122.377	0x7db6808d4129d61a	exact-component-contract	m12n8	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=8
640	dense_1x1_n_tail_k384	63	/model.8/cv2/conv/Conv	conv_dense	20	20	400	16	384	1x1	1x1	384	16	160000	98304	62.1009	61.605	65.2141	67.668	0xfdfee9327bf1f74f	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_1x1_n_tail_k384	63	/model.8/cv2/conv/Conv	conv_dense	20	20	400	24	384	1x1	1x1	384	24	163200	98304	156.969	156.461	161.025	161.461	0xea1ca79a766c36a7	exact-component-contract	direct-strided-n16-live-tail	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=8
640	dense_1x1_n_tail_k384	63	/model.8/cv2/conv/Conv	conv_dense	20	20	400	32	384	1x1	1x1	384	32	166400	98304	110.841	110.752	116.015	120.21	0x55df0879f7666e42	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_1x1_n_tail_k384	63	/model.8/cv2/conv/Conv	conv_dense	20	20	400	48	384	1x1	1x1	384	48	172800	98304	163.098	162.357	170.613	171.128	0x26ef61c13b0f647d	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_1x1_n_tail_k384	63	/model.8/cv2/conv/Conv	conv_dense	20	20	400	64	384	1x1	1x1	384	64	179200	98304	214.42	213.233	226.037	229.837	0x1499fd5d5557ac2f	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_1x1_n_tail_k384	63	/model.8/cv2/conv/Conv	conv_dense	20	20	400	80	384	1x1	1x1	384	80	185600	98304	268.46	267.004	281.73	282.046	0x71f2b52df1e0d6ab	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_1x1_n_tail_k384	63	/model.8/cv2/conv/Conv	conv_dense	20	20	400	96	384	1x1	1x1	384	96	192000	98304	323.778	323.505	329.827	339.089	0x30d1562e40b91aad	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_1x1_n_tail_k384	63	/model.8/cv2/conv/Conv	conv_dense	20	20	400	128	384	1x1	1x1	384	128	204800	98304	422.488	420.298	440.807	448.09	0x3c84407db8179175	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_1x1_n_tail_k384	63	/model.8/cv2/conv/Conv	conv_dense	20	20	400	192	384	1x1	1x1	384	192	230400	98304	629.533	625.427	656.127	661.511	0x9b6917e952af415d	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_1x1_n_tail_k384	63	/model.8/cv2/conv/Conv	conv_dense	20	20	400	256	384	1x1	1x1	384	256	256000	98304	821.384	817.429	838.604	864.888	0x3a0b1995be625ad1	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
