resolution	shape_class	operation_index	operation_name	kind	output_h	output_w	m	n	k	kernel	stride	input_c	output_c	working_set_bytes	packed_weight_bytes	mean_us	median_us	p95_us	max_us	output_hash	correctness_status	selected_route	scheduler	workers	tails
416	dense_1x1_k96	124	/model.16/cv2/conv/Conv	conv_dense	52	52	2704	64	96	1x1	1x1	96	64	432640	6144	548.311	542.987	572.332	590.343	0xa06cbac41e8d6eb7	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
448	dense_1x1_k96	124	/model.16/cv2/conv/Conv	conv_dense	56	56	3136	64	96	1x1	1x1	96	64	501760	6144	629.82	626.927	641.806	675.927	0xcffd1b6e5348cd4b	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	dense_1x1_k96	124	/model.16/cv2/conv/Conv	conv_dense	60	60	3600	64	96	1x1	1x1	96	64	576000	6144	719.87	714.24	747.935	755.97	0x98a579073fa788f	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
512	dense_1x1_k96	124	/model.16/cv2/conv/Conv	conv_dense	64	64	4096	64	96	1x1	1x1	96	64	655360	6144	1368.43	1357.52	1414.6	1431.19	0x83320d831c5a2783	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_1x1_k96	124	/model.16/cv2/conv/Conv	conv_dense	80	80	6400	64	96	1x1	1x1	96	64	1024000	6144	1347.59	1337.79	1472.51	1579.98	0xb6cab3e5ac85c203	exact-component-contract	family-a-weight-stationary-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	dense_1x1_n80_k64	133	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	conv_dense	48	48	2304	80	64	1x1	1x1	64	80	331776	5120	546.223	546.029	566.352	568.926	0xfbc98683c77c1ed3	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	dense_1x1_n80_k64	133	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	conv_dense	52	52	2704	80	64	1x1	1x1	64	80	389376	5120	597.185	592.884	610.672	639.094	0xdf698cec7ed7c33d	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
448	dense_1x1_n80_k64	133	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	conv_dense	56	56	3136	80	64	1x1	1x1	64	80	451584	5120	694.823	692.053	707.809	718.22	0x8e153ed703fdc52f	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	dense_1x1_n80_k64	133	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	conv_dense	60	60	3600	80	64	1x1	1x1	64	80	518400	5120	793.042	793.241	800.696	804.971	0xb2e4266c9fa01d95	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
512	dense_1x1_n80_k64	133	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	conv_dense	64	64	4096	80	64	1x1	1x1	64	80	589824	5120	1378.83	1377.5	1422.98	1443.61	0xbb152a7544f5d483	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_1x1_n80_k64	133	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	conv_dense	80	80	6400	80	64	1x1	1x1	64	80	921600	5120	1223.67	1217.23	1246.74	1259.56	0x682306a28874efd3	exact-component-contract	family-a-weight-stationary-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	dense_1x1_n80_k80	144	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	conv_dense	48	48	2304	80	80	1x1	1x1	80	80	368640	6400	635.6	632.781	649.785	677.177	0x3292f6028780e7b3	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	dense_1x1_n80_k80	144	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	conv_dense	52	52	2704	80	80	1x1	1x1	80	80	432640	6400	656.806	655.093	665.457	669.177	0xe00e2a06760b7b2	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
448	dense_1x1_n80_k80	144	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	conv_dense	56	56	3136	80	80	1x1	1x1	80	80	501760	6400	767.487	766.699	779.518	782.012	0x87590d276d8bf237	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	dense_1x1_n80_k80	144	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	conv_dense	60	60	3600	80	80	1x1	1x1	80	80	576000	6400	857.203	862.118	927.319	943.39	0xddef54c7de431062	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
512	dense_1x1_n80_k80	144	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	conv_dense	64	64	4096	80	80	1x1	1x1	80	80	655360	6400	1623.17	1622.34	1675.34	1731.19	0x1da46e78c4b4e083	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
