arm	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	max_us	block_mean_cv_pct	process_cpu_mean_us	input_mean_us	core_mean_us	dense_mean_us	depthwise_mean_us	attention_mean_us	lut_mean_us	concat_mean_us	transform_mean_us	head_mean_us	voluntary_cs_mean	involuntary_cs_mean	output_hash_count	output_hash
attention_v3	500	162062.620000	986.851705	0.608932341	161793.000000	163143.500000	164109.550000	166094.280000	168896.000000	0.101274740	808041.860000	2264.706220	19792.797400	83320.604600	15295.028200	19161.049200	7474.307940	3876.825240	2435.828100	8353.645740	0.000000	3.762000	1	0xd43f5e018b415631
control	500	164853.578000	2218.013954	1.345444837	164096.500000	167014.200000	168622.850000	175124.130000	178844.000000	0.840963675	823629.752000	2216.835240	19855.114400	83629.155200	15338.320400	21527.659600	7533.135740	3872.480260	2429.793940	8367.424160	0.000000	5.834000	1	0xd43f5e018b415631
