resolution	profile_id	origin_stage	source_model_sha256	static_model_sha256	package_manifest_sha256	prediction_sha256	status
640	K1X_INT8_V1_YOLO26N_640_FULL_GRAPH_001	Stage52/Stage59	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	fab4a72cf524ce0a205ceca0384144f2eee7bc79dff3f4db8b7208614e8407be	cda5c8c7a46d61d9c90f6292001eea190cb8f6617efe647a33dc6134dd57ccda	accepted-exact-default
512	K1X_INT8_V1_YOLO26N_512_FULL_GRAPH_001	Stage60	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	7d4497181ac78b85ec124031332c21187ccd8265cba94e92fd9882f297f3169f	331a39bb5a756ed7a56044bedf5715f65f1ea56dd436aab3a08845acbb4025e3	9b0cc4aa1295d58c314a48ae3fd38d4ef8cb7e1386a0e0952dd3a17d88e97d13	experimental-q0-opt-in
448	K1X_INT8_V1_YOLO26N_448_FULL_GRAPH_001	Stage60	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	c90cc44d33df53a447430d34a51fcb4b4e18124c876359b6207758cc05c7131a	3176a250046f4848d8b8cb04ce1f5c6db5ff8f41b77a08425a46926b63ab0d49	e6ade48fa813d85f7036b33b1ea67b1cb4ea108073debd914e30074ae0675284	experimental-q0-opt-in
416	K1X_INT8_V1_YOLO26N_416_FULL_GRAPH_001	Stage60	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	993b79c7918d893744c7e1b3a18aed7bb6c01efe32fda19729b789a4cd857c72	310c0a4172001ffd47e17f18368e7ea1a2002baccfa3fb375314675366418ee7	8154d17bd8384a18094961977cd84497e9d6d778c969c629aa01e2372df95a73	experimental-q0-opt-in
384	K1X_INT8_V1_YOLO26N_384_FULL_GRAPH_001	Stage60	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	0bd42b5ef9b6a4c1001346d3c88dcbb3423664848e0f608ac111e055ae86895e	a278db8b4f5aa3046ea8e65808e2978af88e4a2d115275829d6dab0720e33c8a	3681ca3a0c2782f47f02aa560fea59c95b4ec34b1f52e082d733e9f0aa2922ef	experimental-q0-opt-in
352	K1X_INT8_V1_YOLO26N_352_FULL_GRAPH_001	Stage60	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	72c7f56f87a545595cdd0dea909f498a6676a02b48d53a8258ca62891f051b23	91c073181b21e27ff702cd86ddcabaeb25903628520831ab2423ee8e2bfd2736	25dc80f94d4bd11681e3aa3c51ad9b34c7212074a17ed6adf3c4dada6ac2e12a	experimental-q0-opt-in
320	K1X_INT8_V1_YOLO26N_320_FULL_GRAPH_001	Stage60	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	7f3859353b5db7f9f3b00d42465459d7702f4c63e88f8894aef1f60917b96c08	bf451c74850dd04d7863e117eb60377fa6956b904d9305292a1015eecd9cb974	86653c74e83f98d1e95f0f308beee23d103ad3096316938591690dd2679190d5	experimental-q0-opt-in
256	K1X_INT8_V1_YOLO26N_256_FULL_GRAPH_001	Stage60	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	f5ed20749bc3da62fc8660e9e07c7a3e72ab934d00fb32c9e40cef2d82c8ed67	661126eebff48e3ad074abdcd133aa54949e851390b1adb79964a403fe82ddba	4b94ceb69be8ca9950fa16f2c64c6b974982285273c8fc4b58de0f5a3855146d	experimental-q0-opt-in
768	K1X_INT8_V1_YOLO26N_768_FULL_GRAPH_001	Stage61	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	3bb1695a5506b9e0c15ce4c511c30d3006db212c7c0c4ff5fb2c289183edfc8b	3fd4d004e92c4238c69c2d07bc1eedcee92c1968984f17d2b796b7bf01b4e0be	5ca1639a6b46545f21d298501727f9273bebf8825b7ef8eee2a6fb7a4f73668e	experimental-q0-opt-in
