surface	v1_mean_us	q31_mean_us	speedup	q31_p95_us	decision
model5	4801.600216	4779.389798	1.0046471242017745	4854.5365	below-1.20x
model4final_model8	27174.621676	27082.880244	1.0033874326206618	27426.37915	below-1.10x-and-p95-regressed
