path	class	storage	disposition
/data/k1x-stage-runs/BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE50-PERSISTENT-NCHWC8-MODEL4FINAL-8-NONCONV-SCHEDULER-LAYOUT-AND-Q31-SIDECAR-GATE-001/bin	runners	NVMe /data	preserved
/data/k1x-stage-runs/BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE50-PERSISTENT-NCHWC8-MODEL4FINAL-8-NONCONV-SCHEDULER-LAYOUT-AND-Q31-SIDECAR-GATE-001/packages	integer packages	NVMe /data	preserved
/data/k1x-stage-runs/BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE50-PERSISTENT-NCHWC8-MODEL4FINAL-8-NONCONV-SCHEDULER-LAYOUT-AND-Q31-SIDECAR-GATE-001/oracles	oracle artifacts	NVMe /data	preserved
/data/k1x-stage-runs/BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE50-PERSISTENT-NCHWC8-MODEL4FINAL-8-NONCONV-SCHEDULER-LAYOUT-AND-Q31-SIDECAR-GATE-001/pmu	counter evidence	NVMe /data	preserved
/data/k1x-stage-runs/BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE50-PERSISTENT-NCHWC8-MODEL4FINAL-8-NONCONV-SCHEDULER-LAYOUT-AND-Q31-SIDECAR-GATE-001/logs	board logs	NVMe /data	preserved
/data/k1x-stage-runs/BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE50-PERSISTENT-NCHWC8-MODEL4FINAL-8-NONCONV-SCHEDULER-LAYOUT-AND-Q31-SIDECAR-GATE-001/tmp	stage temporary	NVMe /data	preserved
