fixture_id	tensor_id	tensor_key	elements	mismatches	max_abs_difference	mean_signed_difference	difference_histogram
F0	0	model4.preact	819200	0	0	0.0	0:819200
F0	1	model4.postact	819200	0	0	0.0	0:819200
F0	2	model.5.output	204800	0	0	0.0	0:204800
F0	3	model.6.split0_outer	102400	0	0	0.0	0:102400
F0	4	model.6.split1	102400	0	0	0.0	0:102400
F0	5	model.6.m0_cv1_act	51200	0	0	0.0	0:51200
F0	6	model.6.m0_cv2_inner	51200	0	0	0.0	0:51200
F0	7	model.6.r0_cv1_act	51200	0	0	0.0	0:51200
F0	8	model.6.r0_cv2_preact	51200	0	0	0.0	0:51200
F0	9	model.6.add0	51200	0	0	0.0	0:51200
F0	10	model.6.r1_cv1_act	51200	0	0	0.0	0:51200
F0	11	model.6.r1_cv2_preact	51200	0	0	0.0	0:51200
F0	12	model.6.add1_inner	51200	0	0	0.0	0:51200
F0	13	model.6.inner_concat	102400	0	0	0.0	0:102400
F0	14	model.6.cv3_outer	102400	1	1	9.765625e-06	0:102399,1:1
F0	15	model.6.outer_concat	307200	1	1	3.2552083333333335e-06	0:307199,1:1
F0	16	model.6.output	204800	2	2	-1.46484375e-05	-2:1,-1:1,0:204798
F0	17	model.7.output	102400	8	3	-8.7890625e-05	-3:1,-2:2,-1:4,0:102392,2:1
F0	18	model.8.split0_outer	51200	15	2	5.859375e-05	-2:1,-1:6,0:51185,1:5,2:3
F0	19	model.8.split1	51200	18	3	-7.8125e-05	-3:1,-2:5,-1:3,0:51182,1:6,2:3
F0	20	model.8.m0_cv1_act	25600	16	2	7.8125e-05	-2:2,-1:5,0:25584,1:7,2:2
F0	21	model.8.m0_cv2_inner	25600	26	3	-0.00015625	-3:1,-2:1,-1:12,0:25574,1:11,2:1
F0	22	model.8.r0_cv1_act	25600	50	2	0.0002734375	-2:3,-1:20,0:25550,1:21,2:6
F0	23	model.8.r0_cv2_preact	25600	207	1	-0.0015234375	-1:123,0:25393,1:84
F0	24	model.8.add0	25600	153	2	-0.0025390625	-2:41,-1:56,0:25447,1:39,2:17
F0	25	model.8.r1_cv1_act	25600	219	2	0.0007421875	-2:18,-1:82,0:25381,1:101,2:18
F0	26	model.8.r1_cv2_preact	25600	703	2	0.0005078125	-2:2,-1:344,0:24897,1:353,2:4
