layout	pair	internal_conversion	mean_us	p95_us	promotion_status
NCHWc8	model4final-model8	0	27174.621676	27269.38565	selected-mainline
M4C8_KMAJOR	1x1/3x3 pair	not-implemented	not-measured	not-measured	not-eligible
NCHWc16	1x1/3x3 pair	not-implemented	not-measured	not-measured	not-eligible
NHWC16	1x1/3x3 pair	not-implemented	not-measured	not-measured	not-eligible
