surface	mean_us	median_us	p95_us	repeat_mean_cv_pct	mismatches	gate
model5	4916.347994	4910.007	5010.0363	0.294734	0	pass
model4final_model6	26633.36454	26560.462	26730.55325	0.291107	0	pass
