tensor_id	tensor_key	shape	layout	logical_bytes	physical_bytes	padding_bytes	roundtrip_exact	physical_sha256	persistent_conv_pair_implemented
7	model.6.r0_cv1_act	1x32x40x40	M4C8_KMAJOR_V1	51200	51200	0	1	1a8e7ad0f0c60af53ffd7e6cfd65dacbc49d3917f8b2a863cbd7b09a3c8da965	0
7	model.6.r0_cv1_act	1x32x40x40	NCHWc16_SPATIAL_INNER_V1	51200	51200	0	1	3b2e47f2fcbf636c9022796d0716bce302b2bb71c49dad177072d3edbc32ebfb	0
7	model.6.r0_cv1_act	1x32x40x40	NHWC16_SPATIAL_INNER_V1	51200	51200	0	1	87cdef195bb1a0badc8c244a18c30a1acb0e12d70231166f2fe7a11e2e204c49	0
8	model.6.r0_cv2_preact	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	51200	51200	0	1	617845465f2be8c58590df2a8234e3070386422291ccb73d8d9484fe5654c353	1
8	model.6.r0_cv2_preact	1x32x40x40	M4C8_KMAJOR_V1	51200	51200	0	1	2eeab4a6b1fa8c1062300a9eb3a0e08b45e4dd9ff0c9ae4d52b174425e887ee7	0
8	model.6.r0_cv2_preact	1x32x40x40	NCHWc16_SPATIAL_INNER_V1	51200	51200	0	1	e8a3c15de87cc88b7d8e858547faab67c10637192045f907febc1c642e7beaf3	0
8	model.6.r0_cv2_preact	1x32x40x40	NHWC16_SPATIAL_INNER_V1	51200	51200	0	1	13cdad503e97bbce5f9a943b159c3c71eadb0235cc58134d2e5e321080524799	0
9	model.6.add0	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	51200	51200	0	1	8aac79ec630b3fa38dcfb028abd720e0bc100690dfc312eea273d9a81526f486	1
9	model.6.add0	1x32x40x40	M4C8_KMAJOR_V1	51200	51200	0	1	3e6b5490aae4448c70f7ef265c7fa08d905f69641a69b7fb7711ed44224061bb	0
9	model.6.add0	1x32x40x40	NCHWc16_SPATIAL_INNER_V1	51200	51200	0	1	7a0dd720608ecb3210e4bbf574fbc75663b7d5f530e095ba409e2c6945aff45d	0
9	model.6.add0	1x32x40x40	NHWC16_SPATIAL_INNER_V1	51200	51200	0	1	887dac7de7965397350dc3e3d548fd00714143c1ade01886c821ac6e1afdbd2b	0
10	model.6.r1_cv1_act	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	51200	51200	0	1	5b2a7bf4940dceb574132e855db2d3d756beed3070865d823c07791321274010	1
10	model.6.r1_cv1_act	1x32x40x40	M4C8_KMAJOR_V1	51200	51200	0	1	c59fd105e23fb6bbb11db9d16e6c6d5f9ff707526bc3d4dbcd730b6f41468f19	0
10	model.6.r1_cv1_act	1x32x40x40	NCHWc16_SPATIAL_INNER_V1	51200	51200	0	1	8052ac7356796e00bcf4a4d88728cf3a2ee08d47fa52816876b8a54ca51752a9	0
10	model.6.r1_cv1_act	1x32x40x40	NHWC16_SPATIAL_INNER_V1	51200	51200	0	1	a8034e6903b2a9daa4db7148b00a03891d40e93d114ca105934dc98ceee75565	0
11	model.6.r1_cv2_preact	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	51200	51200	0	1	6b80abd32ed4167a254223d4363fba16fe0706d978fe16c505ab3edecd204357	1
11	model.6.r1_cv2_preact	1x32x40x40	M4C8_KMAJOR_V1	51200	51200	0	1	04159ccfb3779555f2147487b2dff6227f8e742477443c1b05a73ab3ad2ada0c	0
11	model.6.r1_cv2_preact	1x32x40x40	NCHWc16_SPATIAL_INNER_V1	51200	51200	0	1	9a6cef9c76480fdb15812cb3d927060e8a9a66b44023cca571de2432f4aebb0c	0
11	model.6.r1_cv2_preact	1x32x40x40	NHWC16_SPATIAL_INNER_V1	51200	51200	0	1	2b735c53658c129c853964f78b9897a697bd998f0b3c4e735935edea909b1519	0
12	model.6.add1_inner	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	51200	51200	0	1	7ce72132c99d936047054791c6deec7ae483307c87cf4a20ad5a7c81a0947609	1
12	model.6.add1_inner	1x32x40x40	M4C8_KMAJOR_V1	51200	51200	0	1	e6323c8791621c07b9724be6d4c677c69063d12c7b24d978256def367b5f9748	0
12	model.6.add1_inner	1x32x40x40	NCHWc16_SPATIAL_INNER_V1	51200	51200	0	1	6e46e292391e0596e9509b0be37ecc14fe37c19959ef91b94a46048e2a2f5146	0
12	model.6.add1_inner	1x32x40x40	NHWC16_SPATIAL_INNER_V1	51200	51200	0	1	e342f4edbe4615958be5d00cc36a72e2f310f8131496479294b5a2257e289aa7	0
13	model.6.inner_concat	1x64x40x40	NCHWc8_SPATIAL_INNER_V1	102400	102400	0	1	dd7f656d69f85e9d8467c497df1fd0583e07082644d2bf4121ee81cb1e2b8c29	1
13	model.6.inner_concat	1x64x40x40	M4C8_KMAJOR_V1	102400	102400	0	1	408ff76fd18a69df6c0760f43db049f9b902486012063beea3a121294fc97587	0
13	model.6.inner_concat	1x64x40x40	NCHWc16_SPATIAL_INNER_V1	102400	102400	0	1	efa8fb1cc13a47704f96949e64852c80455f471104b0f09715cab0c7852336f2	0
13	model.6.inner_concat	1x64x40x40	NHWC16_SPATIAL_INNER_V1	102400	102400	0	1	ec43b2fa6bb6ef33ddfc7c879fec1a47a6497b2c76fd1ba87003408b8dbe6eac	0
14	model.6.cv3_outer	1x64x40x40	NCHWc8_SPATIAL_INNER_V1	102400	102400	0	1	dde391a6a3758fd12e120e291ad8578b70becd84c6ea5eac478df8a84bfa0a34	1
14	model.6.cv3_outer	1x64x40x40	M4C8_KMAJOR_V1	102400	102400	0	1	724a2cc4fad77b48a5c5eb48824ad26978daf5c928cfb171c602d5861242fcab	0
14	model.6.cv3_outer	1x64x40x40	NCHWc16_SPATIAL_INNER_V1	102400	102400	0	1	f0893df5681a481bb5edeaa1a5ce429decedbf93c66298fb0e0ca1c7a2e8a769	0
14	model.6.cv3_outer	1x64x40x40	NHWC16_SPATIAL_INNER_V1	102400	102400	0	1	f4e60b8dcc758648d8e83388a7156f4db2e83bcf70a0095dc7f34f95c2492d13	0
15	model.6.outer_concat	1x192x40x40	NCHWc8_SPATIAL_INNER_V1	307200	307200	0	1	1c15d8a518f15aa494d7dec96bc4dcea61102ea0be58cc113fcace26de57c7b5	1
15	model.6.outer_concat	1x192x40x40	M4C8_KMAJOR_V1	307200	307200	0	1	468e38171a86593cc41af13e520a0a9071d6cc9f40a8071981575f23550a0411	0
15	model.6.outer_concat	1x192x40x40	NCHWc16_SPATIAL_INNER_V1	307200	307200	0	1	181f0c141e93862d8fc828066ad8da98c253d916a9ba4fdbe8c0b5a1d8bf9635	0
15	model.6.outer_concat	1x192x40x40	NHWC16_SPATIAL_INNER_V1	307200	307200	0	1	a721f356ae1b1bd977030a5f2ab4c59eb8f349b70603030961383eccce2b8468	0
16	model.6.output	1x128x40x40	NCHWc8_SPATIAL_INNER_V1	204800	204800	0	1	f491d8bc75c03918bb9caaf442b566a9b4aa5070d05f279c37f015e5b039938c	1
16	model.6.output	1x128x40x40	M4C8_KMAJOR_V1	204800	204800	0	1	ad8d518bd710d76522a4ec059701d348763d1940e25fe7f6d29358daa347104d	0
16	model.6.output	1x128x40x40	NCHWc16_SPATIAL_INNER_V1	204800	204800	0	1	238b35ab39f35b8e4e7a96b7286d89b8b703c688f108bedf42f6ec4afdcb8d5f	0
16	model.6.output	1x128x40x40	NHWC16_SPATIAL_INNER_V1	204800	204800	0	1	3aaf6ca3d72b675525fdcdf4f9f9aab26bd5fd7bd160d6b4bac3cce57ef17ace	0
17	model.7.output	1x256x20x20	NCHWc8_SPATIAL_INNER_V1	102400	102400	0	1	337a610b78e4330ac3244e1cc931ada1992eaedd727e13ae0b5f9d37219831fe	1
17	model.7.output	1x256x20x20	M4C8_KMAJOR_V1	102400	102400	0	1	97f3339dd9d7ffa4cf3674423aaf4a873d9bbef17658ffc3240eb788cb506af5	0
17	model.7.output	1x256x20x20	NCHWc16_SPATIAL_INNER_V1	102400	102400	0	1	3d70bf0588a71b2c923bb1d4afbaf318963f3ba1591761ada38b1bd887c3a209	0
17	model.7.output	1x256x20x20	NHWC16_SPATIAL_INNER_V1	102400	102400	0	1	cd5e1d517c32ace1afa4dd71ea709973bf14b368c3a5180e151c040f9e83fad8	0
18	model.8.split0_outer	1x128x20x20	NCHWc8_SPATIAL_INNER_V1	51200	51200	0	1	30c43b1be444d9f807704cac6a533c38b76ff1890d59f835c3ba1e3fd86d0dfa	1
18	model.8.split0_outer	1x128x20x20	M4C8_KMAJOR_V1	51200	51200	0	1	ad89ff46d4107d9d85d01857e083e1210c44b5f1e5bd4d94adbf5ac9e13862c4	0
18	model.8.split0_outer	1x128x20x20	NCHWc16_SPATIAL_INNER_V1	51200	51200	0	1	25694fca773a927b82b54982d573b91bec41f0e389e9db822957708a1aa98f97	0
18	model.8.split0_outer	1x128x20x20	NHWC16_SPATIAL_INNER_V1	51200	51200	0	1	f5b273b8928bed2dc8704ae52b1842121f7cd5000c9d47daa4fb59f8bbd8ebe7	0
19	model.8.split1	1x128x20x20	NCHWc8_SPATIAL_INNER_V1	51200	51200	0	1	c088608fe7b57f32fc9b9d8f17b17b3a634d116c9965dd2844d101c1da7b6b4d	1
19	model.8.split1	1x128x20x20	M4C8_KMAJOR_V1	51200	51200	0	1	3e1ac2f7ff06caa395a042d4d349187308ae644fd822f4204d520696a168e37d	0
19	model.8.split1	1x128x20x20	NCHWc16_SPATIAL_INNER_V1	51200	51200	0	1	aeff01df837eaab75e5f2e1504a99068a1be08037bc5ce8394292dc200bd6f9e	0
19	model.8.split1	1x128x20x20	NHWC16_SPATIAL_INNER_V1	51200	51200	0	1	80c890d6c7591d4d7470067b987d9e3497bbb8a9f99654f724a04c5ddca2b614	0
20	model.8.m0_cv1_act	1x64x20x20	NCHWc8_SPATIAL_INNER_V1	25600	25600	0	1	6565881d65da1bd7f10d3116dc0a5d94bab6d9743ea5a4468e6d7c11ec2dd9ee	1
20	model.8.m0_cv1_act	1x64x20x20	M4C8_KMAJOR_V1	25600	25600	0	1	9474fd1d3745eaad1c74b94e2779e2716bd5132b1bb475d8094e68b3ff8dfa13	0
20	model.8.m0_cv1_act	1x64x20x20	NCHWc16_SPATIAL_INNER_V1	25600	25600	0	1	9c1574a92cb00b7230b1c3af24b7c4e01b1c5ca0fc82818a800b08e691940a6f	0
20	model.8.m0_cv1_act	1x64x20x20	NHWC16_SPATIAL_INNER_V1	25600	25600	0	1	fa70dc456cd9edeb2437dba7659d5396465674e77a3844c7f62f5ca235c47cbb	0
21	model.8.m0_cv2_inner	1x64x20x20	NCHWc8_SPATIAL_INNER_V1	25600	25600	0	1	1cb5153b149d2713128ae20a8aa9e37373e8ff4e98a59056e2be2a4b1580348b	1
21	model.8.m0_cv2_inner	1x64x20x20	M4C8_KMAJOR_V1	25600	25600	0	1	71ed395f92ed6f176378c0e7d1a90de1911cb8f1820d4400fb2fcb3573defd8d	0
21	model.8.m0_cv2_inner	1x64x20x20	NCHWc16_SPATIAL_INNER_V1	25600	25600	0	1	82c5c8041b58c62804ce5a55f12c7b91c8523c51534c1bbfe62ea102c6ead4cb	0
21	model.8.m0_cv2_inner	1x64x20x20	NHWC16_SPATIAL_INNER_V1	25600	25600	0	1	79bd71420abf061f6b997e363df9df99ff981066355acca2ac640ddd0113c3b4	0
22	model.8.r0_cv1_act	1x64x20x20	NCHWc8_SPATIAL_INNER_V1	25600	25600	0	1	266c90837972d00fc08128453ef071818aff0eb4384d5ce5ecb9d1d2ae756d98	1
22	model.8.r0_cv1_act	1x64x20x20	M4C8_KMAJOR_V1	25600	25600	0	1	c8186b1d48910977213296c4a55070419f485071d4096604cdae30faef38f1f8	0
22	model.8.r0_cv1_act	1x64x20x20	NCHWc16_SPATIAL_INNER_V1	25600	25600	0	1	0dc7ebf4b099f6a5d449e1331cb5a7081c9a41af5c40b4c934c354ca550cc879	0
22	model.8.r0_cv1_act	1x64x20x20	NHWC16_SPATIAL_INNER_V1	25600	25600	0	1	5aa46b062e5a1dae1a39d57c1391d8963de04caca634011ad30611da948277d0	0
23	model.8.r0_cv2_preact	1x64x20x20	NCHWc8_SPATIAL_INNER_V1	25600	25600	0	1	59a4e67c4f2e03d21ef956a16c72fc2dc72ed3329a400e272d29f68919b31ede	1
23	model.8.r0_cv2_preact	1x64x20x20	M4C8_KMAJOR_V1	25600	25600	0	1	8509e4419819e6c70cd961029879b0ee3452d6dfe373ae65538e61f6dd5abc94	0
23	model.8.r0_cv2_preact	1x64x20x20	NCHWc16_SPATIAL_INNER_V1	25600	25600	0	1	a9c74917fd10949e0167141af9f44480267123f3e84e9d9234bebcc2c58be366	0
23	model.8.r0_cv2_preact	1x64x20x20	NHWC16_SPATIAL_INNER_V1	25600	25600	0	1	7c76bc692db7d792f67986c600088eb22b0eac0e8e6889d458a5d831e829da82	0
24	model.8.add0	1x64x20x20	NCHWc8_SPATIAL_INNER_V1	25600	25600	0	1	7e10fb822f8d557ca353cc179a145ea61cf78a6fcbd43758aaec39505914da7c	1
24	model.8.add0	1x64x20x20	M4C8_KMAJOR_V1	25600	25600	0	1	3cc9d6bae270ec9030a7e6f1844caaf9cfa4c342811358b32393e6017ff296d4	0
24	model.8.add0	1x64x20x20	NCHWc16_SPATIAL_INNER_V1	25600	25600	0	1	a81712335fa00da8e4bb7b3048e4011e03ef45424c29c8bbfdc7cd01357a6511	0
24	model.8.add0	1x64x20x20	NHWC16_SPATIAL_INNER_V1	25600	25600	0	1	35f925ff2651c9f66260b7577e70b51b04060f6d52fae67a0386a716689028f4	0
25	model.8.r1_cv1_act	1x64x20x20	NCHWc8_SPATIAL_INNER_V1	25600	25600	0	1	32fdb1d2b96816189f2b70f974a065a2f35b8d67cd395e250c2b2f112224ace6	1
25	model.8.r1_cv1_act	1x64x20x20	M4C8_KMAJOR_V1	25600	25600	0	1	447e69bd723fb4e2d59f266c0ed7c534e33cc302468312a3bcf51a283ae3b055	0
25	model.8.r1_cv1_act	1x64x20x20	NCHWc16_SPATIAL_INNER_V1	25600	25600	0	1	b6dbccfd8983b011933bad3549c770bffe70b3635be9d3c3f8630c726057e9e8	0
25	model.8.r1_cv1_act	1x64x20x20	NHWC16_SPATIAL_INNER_V1	25600	25600	0	1	e4694356e1cebbaabb7c109dd6d14624563fb94505e24005eb191e952f815344	0
26	model.8.r1_cv2_preact	1x64x20x20	NCHWc8_SPATIAL_INNER_V1	25600	25600	0	1	fd7cb4438cc36398b4312b4ab62001d79df6a8e6eb44231561346df119620fdb	1
26	model.8.r1_cv2_preact	1x64x20x20	M4C8_KMAJOR_V1	25600	25600	0	1	15d89ad14d9c440c5bb04a675334a91d136ae001626a6ac2c6f6d74604c91f8b	0
26	model.8.r1_cv2_preact	1x64x20x20	NCHWc16_SPATIAL_INNER_V1	25600	25600	0	1	3656c0d204b2fc65535eece13bba9cf772403f2cb9e0db9ea43421133881b9a4	0
26	model.8.r1_cv2_preact	1x64x20x20	NHWC16_SPATIAL_INNER_V1	25600	25600	0	1	b8d806c1ed1b9cb5313a3ae77a33716c8963d34be6cb1d4e34b7edf46576c62e	0
27	model.8.add1_inner	1x64x20x20	NCHWc8_SPATIAL_INNER_V1	25600	25600	0	1	19aa2f8ce763cf4a65900463201cc87f785830660e7568689e235607d0e35298	1
27	model.8.add1_inner	1x64x20x20	M4C8_KMAJOR_V1	25600	25600	0	1	cfb2c7400fac8b15c3fc60853fb04cad7a218969ae32bc29615ad8dbdb5a4777	0
27	model.8.add1_inner	1x64x20x20	NCHWc16_SPATIAL_INNER_V1	25600	25600	0	1	b67209b839b52726587bec0399294052b7cab03abb9e6562664ede85e2082dd8	0
27	model.8.add1_inner	1x64x20x20	NHWC16_SPATIAL_INNER_V1	25600	25600	0	1	1381741b309ff995fdc602d21b4c0af6a39df5335d87642cf1f8a24c3f5e5933	0
28	model.8.inner_concat	1x128x20x20	NCHWc8_SPATIAL_INNER_V1	51200	51200	0	1	8bc6322ada1a88855753b3249055c35d2a919026cba2b0d15df1b6fc889ec951	1
28	model.8.inner_concat	1x128x20x20	M4C8_KMAJOR_V1	51200	51200	0	1	c73b66ba75754db143aa16dbe1cebe1729a6129f67ca07395cc67250412ff40f	0
28	model.8.inner_concat	1x128x20x20	NCHWc16_SPATIAL_INNER_V1	51200	51200	0	1	981f21807d33385454a02063bcc754d78f0b67cd66cda7298e18e6af4ffa9e13	0
28	model.8.inner_concat	1x128x20x20	NHWC16_SPATIAL_INNER_V1	51200	51200	0	1	fcbfb42010bd9b37ffbf2e649836aa10ae960706d866e47213b669f5fb6e23dd	0
29	model.8.cv3_outer	1x128x20x20	NCHWc8_SPATIAL_INNER_V1	51200	51200	0	1	c52a0b20fb58a200692657eed788bb29b1145c76261c5f2e956c1015eaf5ff62	1
29	model.8.cv3_outer	1x128x20x20	M4C8_KMAJOR_V1	51200	51200	0	1	63d8047c76d6f1c1ad2637f23c1b036752c05b61aa993965d07f8057aff2309e	0
29	model.8.cv3_outer	1x128x20x20	NCHWc16_SPATIAL_INNER_V1	51200	51200	0	1	29384e0cae0c282f13b13a5901b28336c83a09974f91f847c04f57519fba6e29	0
29	model.8.cv3_outer	1x128x20x20	NHWC16_SPATIAL_INNER_V1	51200	51200	0	1	2665b994b129997413d14f9f535558b4843d194a91738f541eb301ddffbf9033	0
30	model.8.outer_concat	1x384x20x20	NCHWc8_SPATIAL_INNER_V1	153600	153600	0	1	f8b7cff7fd5a73649e987c5def8da0f71e7d3b7d5d114ca1be018de154c8bd80	1
30	model.8.outer_concat	1x384x20x20	M4C8_KMAJOR_V1	153600	153600	0	1	28e7b5fda99cb3fa286771de79149aaf971f144c8202ee950c12f45bd87c31f6	0
30	model.8.outer_concat	1x384x20x20	NCHWc16_SPATIAL_INNER_V1	153600	153600	0	1	57a8404774ca1454549c1ce10fe3d3ad2614a84df4ff8c82d8c50f8008c607bc	0
30	model.8.outer_concat	1x384x20x20	NHWC16_SPATIAL_INNER_V1	153600	153600	0	1	5a6ffe23c0b7de563fec660648f4c62dd4a24a68d5b323f35f070891895bddf5	0
31	model.8.output	1x256x20x20	NCHWc8_SPATIAL_INNER_V1	102400	102400	0	1	8591a724740c3c6a12ad56478b5827bb51c3c1cd2ce0b6a5950e7e2e01a3afcf	1
31	model.8.output	1x256x20x20	M4C8_KMAJOR_V1	102400	102400	0	1	75c4dfc2d001823b1c7d4d416857c67181b0f4ab76cbd9f68e5ea65f5ac7cde6	0
31	model.8.output	1x256x20x20	NCHWc16_SPATIAL_INNER_V1	102400	102400	0	1	a3e5f7512fa1d6333a349bcdf46a0145c8ea054d61bcae4272f8e6e11fd2bf04	0
31	model.8.output	1x256x20x20	NHWC16_SPATIAL_INNER_V1	102400	102400	0	1	22cd6a7a44b9c92ae206b8ce53b604e137d1641fdb61044b45350d10b5d03a16	0
