fixture	route	boundaries	mismatches	status
F0	python_arbitrary_precision	32	0	exact
F0	portable_cpp_scalar	32	0	exact
F0	board_scalar	32	0	exact
F0	board_ime	32	0	exact
F1	python_arbitrary_precision	32	0	exact
F1	portable_cpp_scalar	32	0	exact
F1	board_scalar	32	0	exact
F1	board_ime	32	0	exact
F2	python_arbitrary_precision	32	0	exact
F2	portable_cpp_scalar	32	0	exact
F2	board_scalar	32	0	exact
F2	board_ime	32	0	exact
F3	python_arbitrary_precision	32	0	exact
F3	portable_cpp_scalar	32	0	exact
F3	board_scalar	32	0	exact
F3	board_ime	32	0	exact
F4	python_arbitrary_precision	32	0	exact
F4	portable_cpp_scalar	32	0	exact
F4	board_scalar	32	0	exact
F4	board_ime	32	0	exact
F5	python_arbitrary_precision	32	0	exact
F5	portable_cpp_scalar	32	0	exact
F5	board_scalar	32	0	exact
F5	board_ime	32	0	exact
F6	python_arbitrary_precision	32	0	exact
F6	portable_cpp_scalar	32	0	exact
F6	board_scalar	32	0	exact
F6	board_ime	32	0	exact
F7	python_arbitrary_precision	32	0	exact
F7	portable_cpp_scalar	32	0	exact
F7	board_scalar	32	0	exact
F7	board_ime	32	0	exact
