arm	surface	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p99_9_us	max_us	output_hash	affinity_failures	cpu4_7_ime_count
0.9.2	total	1000	134087.303000	725.079345	0.540752	133822.000	135328.500	135594.650	135967.480	136129.061	136190.000	0xd43f5e018b415631	0	0
0.9.2	pure_executor	1000	131451.758000	261.890940	0.199230	131447.500	131795.200	131888.050	132097.190	132288.331	132619.000	0xd43f5e018b415631	0	0
0.9.3	total	1000	133378.979000	289.754832	0.217242	133374.000	133739.300	133843.100	134124.110	134881.844	135725.000	0xd43f5e018b415631	0	0
0.9.3	pure_executor	1000	131200.166000	278.935432	0.212603	131196.000	131571.000	131665.000	131882.200	132013.595	132608.000	0xd43f5e018b415631	0	0
delta_0.9.3_vs_0.9.2	total	1000	-0.528256	NA	NA	NA	NA	NA	NA	NA	NA	NA	exact	0	0
delta_0.9.3_vs_0.9.2	pure_executor	1000	-0.191395	NA	NA	NA	NA	NA	NA	NA	NA	NA	exact	0	0
