block	fallback_vs_custom	mean_us	boundary_bytes	note
full_ort_reference	ORT_CPU	197743.799	4915200	skeleton_total_latency_not_model_fps
prefix_images_to_model4_input	ORT_CPU	59987.179	409600	cut timing
model4_cut_all_ort	ORT_CPU	9756.942	819200	cut timing
suffix_model4_output_to_output0	ORT_CPU	129679.221	819200	cut timing
