block_id	first_node	last_node	node_count	operator_mix	conv_count	matmul_count	quantize_count	dequantize_count	start_tensor_candidates	end_tensor	end_shape	cumulative_cut_status	cumulative_cut_nodes	cumulative_cut_sha256	custom_kernel_reuse	risk_score
model.5	/model.5/conv/Conv	/model.5/act/Mul_output_0_DequantizeLinear	7	Conv:1,DequantizeLinear:2,Mul:1,QuantizeLinear:2,Sigmoid:1	1	0	2	2	/model.4/cv2/act/Mul_output_0_DequantizeLinear_Output;model.5.conv.weight_DequantizeLinear_Output;model.5.conv.bias;/model.5/conv/Conv_output_0;/model.5/conv/Conv_output_0_scale;/model.5/conv/Conv_output_0_zero_point;/model.5/conv/Conv_output_0_QuantizeLinear_Output	/model.5/act/Mul_output_0_DequantizeLinear_Output	1x128x40x40	pass	14	6a14665fbca40ca90ec984d73157d431f2c1d06a8dce787cc272ecfaccc4eda9	conv_or_postprocess_specific	low
model.6	/model.6/cv1/conv/Conv	/model.6/cv2/act/Mul_output_0_DequantizeLinear	66	Add:2,Concat:2,Conv:9,DequantizeLinear:17,Mul:9,QuantizeLinear:17,Sigmoid:9,Split:1	9	0	17	17	/model.5/act/Mul_output_0_DequantizeLinear_Output;model.6.cv1.conv.weight_DequantizeLinear_Output;model.6.cv1.conv.bias;/model.6/cv1/conv/Conv_output_0;/model.6/cv1/conv/Conv_output_0_scale;/model.6/cv1/conv/Conv_output_0_zero_point;/model.6/cv1/conv/Conv_output_0_QuantizeLinear_Output	/model.6/cv2/act/Mul_output_0_DequantizeLinear_Output	1x128x40x40	pass	99	bc8a2b197741bcbb5b380c39b0b7a1de0670188396b248264e821ec9ab6d74c6	model4_c2f_reuse_candidate	medium
model.7	/model.7/conv/Conv	/model.7/act/Mul_output_0_DequantizeLinear	7	Conv:1,DequantizeLinear:2,Mul:1,QuantizeLinear:2,Sigmoid:1	1	0	2	2	/model.6/cv2/act/Mul_output_0_DequantizeLinear_Output;model.7.conv.weight_DequantizeLinear_Output;model.7.conv.bias;/model.7/conv/Conv_output_0;/model.7/conv/Conv_output_0_scale;/model.7/conv/Conv_output_0_zero_point;/model.7/conv/Conv_output_0_QuantizeLinear_Output	/model.7/act/Mul_output_0_DequantizeLinear_Output	1x256x20x20	pass	108	4663ab1f3cc837dd2d64f84638371e2540c1a3ad132e5d2b4ddae44064bb670b	conv_or_postprocess_specific	low
model.8	/model.8/cv1/conv/Conv	/model.8/cv2/act/Mul_output_0_DequantizeLinear	66	Add:2,Concat:2,Conv:9,DequantizeLinear:17,Mul:9,QuantizeLinear:17,Sigmoid:9,Split:1	9	0	17	17	/model.7/act/Mul_output_0_DequantizeLinear_Output;model.8.cv1.conv.weight_DequantizeLinear_Output;model.8.cv1.conv.bias;/model.8/cv1/conv/Conv_output_0;/model.8/cv1/conv/Conv_output_0_scale;/model.8/cv1/conv/Conv_output_0_zero_point;/model.8/cv1/conv/Conv_output_0_QuantizeLinear_Output	/model.8/cv2/act/Mul_output_0_DequantizeLinear_Output	1x256x20x20	pass	193	79d6e9d7f91c6c7c6dd7097ac3171a5262bf0f105f9d837af1d3f30d5099059c	model4_c2f_reuse_candidate	medium
model.9	/model.9/cv1/conv/Conv	/model.9/Add_output_0_DequantizeLinear	17	Add:1,Concat:1,Conv:2,DequantizeLinear:4,MaxPool:3,Mul:1,QuantizeLinear:4,Sigmoid:1	2	0	4	4	/model.8/cv2/act/Mul_output_0_DequantizeLinear_Output;model.9.cv1.conv.weight_DequantizeLinear_Output;model.9.cv1.conv.bias;/model.9/cv1/conv/Conv_output_0;/model.9/cv1/conv/Conv_output_0_scale;/model.9/cv1/conv/Conv_output_0_zero_point;/model.9/cv1/conv/Conv_output_0_QuantizeLinear_Output	/model.9/Add_output_0_DequantizeLinear_Output	1x256x20x20	pass	214	8634b6d1175c9c271320db7863d92dd6e3be9e4ec737b353aa3ea15482e70fe2	model4_c2f_reuse_candidate	low
model.10	/model.10/m/m.0/attn/Constant	/model.10/cv2/act/Mul	70	Add:3,Concat:1,Constant:4,Conv:7,DequantizeLinear:19,MatMul:2,Mul:4,QuantizeLinear:19,Reshape:3,Sigmoid:3,Softmax:1,Split:2,Transpose:2	7	2	19	19	/model.9/Add_output_0_DequantizeLinear_Output;model.10.cv1.conv.weight_DequantizeLinear_Output;model.10.cv1.conv.bias;/model.10/cv1/conv/Conv_output_0;/model.10/cv1/conv/Conv_output_0_scale;/model.10/cv1/conv/Conv_output_0_zero_point;/model.10/cv1/conv/Conv_output_0_QuantizeLinear_Output	/model.10/cv2/act/Mul_output_0	1x256x20x20	pass	299	575778d782d530cf5214b197065818d3b1d695163dd2938aa0755f69fd565211	model4_c2f_reuse_candidate	medium
model.11	/model.11/Constant	/model.11/Resize	2	Constant:1,Resize:1	0	0	0	0	/model.10/cv2/act/Mul_output_0;/model.11/Constant_output_0	/model.11/Resize_output_0	1x256x40x40	pass	301	73011cc70f646768d38ace80afd69f9be67f97321ae2217eb366e518bf431e8e	conv_or_postprocess_specific	low
model.12	/model.12/Concat	/model.12/Concat_output_0_DequantizeLinear	3	Concat:1,DequantizeLinear:1,QuantizeLinear:1	0	0	1	1	/model.11/Resize_output_0;/model.6/cv2/act/Mul_output_0_DequantizeLinear_Output;/model.12/Concat_output_0;/model.12/Concat_output_0_scale;/model.12/Concat_output_0_zero_point;/model.12/Concat_output_0_QuantizeLinear_Output	/model.12/Concat_output_0_DequantizeLinear_Output	1x384x40x40	pass	304	3f29104e8dd4f1da69665ee6d6e5e099c386c2c01be7cfe5061ddd2dcd32e857	conv_or_postprocess_specific	low
model.13	/model.13/cv1/conv/Conv	/model.13/cv2/act/Mul	64	Add:2,Concat:2,Conv:9,DequantizeLinear:16,Mul:9,QuantizeLinear:16,Sigmoid:9,Split:1	9	0	16	16	/model.12/Concat_output_0_DequantizeLinear_Output;model.13.cv1.conv.weight_DequantizeLinear_Output;model.13.cv1.conv.bias;/model.13/cv1/conv/Conv_output_0;/model.13/cv1/conv/Conv_output_0_scale;/model.13/cv1/conv/Conv_output_0_zero_point;/model.13/cv1/conv/Conv_output_0_QuantizeLinear_Output	/model.13/cv2/act/Mul_output_0	1x128x40x40	pass	386	492729b97f609d298ba481efd30631f141ecd6a5164e46aa85329f61b083ce9d	model4_c2f_reuse_candidate	medium
model.14	/model.14/Constant	/model.14/Resize	2	Constant:1,Resize:1	0	0	0	0	/model.13/cv2/act/Mul_output_0;/model.14/Constant_output_0	/model.14/Resize_output_0	1x128x80x80	pass	388	e0a93fafd3bf6c4ee864211406b84b3e169c0272fe27ab296c1b9ade696a4453	conv_or_postprocess_specific	low
