surface	cycles	instructions	ipc
model5	80365599	52576936	0.654222
op0	2302830	266032	0.115524
op11	unavailable	unavailable	unavailable
op2	65736639	45505547	0.692240
op5	18291639	12912777	0.705939
op7	1080434	1264428	1.170296
slice	533246620	368116931	0.690331
