surface	samples	mean_us	stddev_us	cv_pct	min_us	max_us	median_us	p90_us	p95_us	p99_us	process_cpu_mean_us	repeat_mean_cv_pct
stage50_final_model5	500.000000	4826.757964	188.047102	3.895930	4691.250000	7725.725000	4806.738500	4890.428200	4918.032450	5177.197600	18686.014422	0.425326
stage50_final_model4final_model8	500.000000	27261.068684	309.009667	1.133520	26987.291000	29911.882000	27220.762000	27342.281600	27396.073300	29604.436000	102727.067626	0.106777
