surface	samples	mean_us	stddev_us	cv_pct	min_us	max_us	median_us	p90_us	p95_us	p99_us	process_cpu_mean_us	repeat_mean_cv_pct
slice_cluster0_nonconv	500.000000	17833.736802	1253.170357	7.026965	17502.682000	43083.317000	17702.770000	17827.939000	17953.549350	20609.962000	66047.100080	0.656759
slice_cluster1_nonconv	500.000000	18266.834038	1645.080200	9.005831	17835.562000	51828.363000	18107.464000	18233.053700	18319.781350	21348.720000	66316.278318	1.127008
