route	operation	kind	name	wall_us	delivery_worker_sum_us	vmadot_worker_sum_us	epilogue_worker_sum_us	q0_extract_worker_sum_us	q1_bias_worker_sum_us	q2_multiply_rne_worker_sum_us	q3_clamp_worker_sum_us	q4_lut_worker_sum_us	q5_store_worker_sum_us
E1	0	lut	/model.4/cv2/final_silu	547.557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1	1	conv	/model.5/conv/Conv	53883.5	4839.6	5660.32	196001.0	17064.6	31633.6	34019.4	26402.9	25294.8	30975.0
E1	2	conv	/model.6/cv1/conv/Conv	51683.6	690.609	828.525	194404.0	16652.1	31770.5	33822.3	26341.2	25121.0	30558.9
E1	3	conv	/model.6/m.0/cv1/conv/Conv	12923.5	316.931	99.585	48388.4	4141.96	7965.76	8520.7	6540.67	6216.09	7521.47
E1	4	conv	/model.6/m.0/cv2/conv/Conv	14715.5	251.468	131.084	50421.5	4473.56	8156.05	8780.59	6705.81	6607.94	7930.15
E1	5	conv	/model.6/m.0/m/m.0/cv1/conv/Conv	13073.4	1269.49	311.593	48813.9	4270.2	7841.42	8392.62	6609.69	6401.24	7725.96
E1	6	conv	/model.6/m.0/m/m.0/cv2/conv/Conv	13147.3	1194.2	295.717	48226.5	4169.74	7923.25	8376.22	6541.37	6213.32	7618.51
E1	7	add_silu	/model.6/m.0/m/m.0/Add	214.589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1	8	conv	/model.6/m.0/m/m.1/cv1/conv/Conv	13061.7	1196.7	267.347	47902.5	4163.17	7879.79	8403.11	6509.69	6230.87	7379.57
E1	9	conv	/model.6/m.0/m/m.1/cv2/conv/Conv	13087.2	1237.41	284.845	47927.4	4165.4	7856.6	8366.44	6515.24	6225.7	7444.86
E1	10	add_silu	/model.6/m.0/m/m.1/Add	222.298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1	11	concat	/model.6/m.0/Concat	7.291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1	12	conv	/model.6/m.0/cv3/conv/Conv	25714.7	315.012	228.01	96817.3	8271.45	15929.9	16905.0	13121.2	12558.8	15145.4
E1	13	concat	/model.6/Concat	120.962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1	14	conv	/model.6/cv2/conv/Conv	52569.9	1050.53	1248.6	197227.0	17074.2	31772.8	33962.7	26381.7	26787.8	30721.6
E1	15	conv	/model.7/conv/Conv	26978.9	1859.72	2653.92	96402.5	8346.02	15651.4	16781.0	13070.2	12470.3	15104.6
E1	16	conv	/model.8/cv1/conv/Conv	26234.3	245.631	720.854	97001.2	8368.72	15967.4	16943.1	13031.1	12501.3	15142.9
E1	17	conv	/model.8/m.0/cv1/conv/Conv	6549.52	125.753	90.503	24084.4	2097.5	3948.55	4208.81	3284.27	3117.86	3718.13
E1	18	conv	/model.8/m.0/cv2/conv/Conv	6557.19	103.506	89.544	24174.0	2065.65	3949.27	4241.44	3301.45	3127.11	3773.6
E1	19	conv	/model.8/m.0/m/m.0/cv1/conv/Conv	6795.44	831.775	376.383	23967.3	2110.9	3917.83	4196.31	3219.48	3077.33	3729.52
E1	20	conv	/model.8/m.0/m/m.0/cv2/conv/Conv	6733.48	829.066	370.476	23841.9	2067.56	3944.88	4174.71	3223.86	3058.75	3665.71
E1	21	add_silu	/model.8/m.0/m/m.0/Add	126.795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1	22	conv	/model.8/m.0/m/m.1/cv1/conv/Conv	6742.32	827.314	378.257	23856.1	2079.81	3934.75	4178.09	3236.31	3060.13	3651.58
E1	23	conv	/model.8/m.0/m/m.1/cv2/conv/Conv	6745.78	820.693	387.806	23882.5	2072.87	3911.02	4149.82	3261.57	3114.14	3670.92
E1	24	add_silu	/model.8/m.0/m/m.1/Add	142.962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1	25	concat	/model.8/m.0/Concat	6.792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1	26	conv	/model.8/m.0/cv3/conv/Conv	15130.6	149.045	280.347	50775.7	4597.99	8187.01	8781.38	6696.06	6602.91	7908.4
E1	27	concat	/model.8/Concat	317.092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1	28	conv	/model.8/cv2/conv/Conv	26245.0	352.047	991.196	96813.5	8309.94	15892.1	16910.0	13071.8	12423.3	15159.9
E2c	0	lut	/model.4/cv2/final_silu	549.807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E2c	1	conv	/model.5/conv/Conv	12869.1	4477.84	5571.19	39766.9	4109.67	4924.86	4780.5	4939.29	4938.28	4704.29
E2c	2	conv	/model.6/cv1/conv/Conv	10611.9	774.772	814.902	39456.0	4099.48	4755.29	4702.47	4882.51	4854.87	4757.93
E2c	3	conv	/model.6/m.0/cv1/conv/Conv	2700.41	243.251	93.831	9806.36	1027.39	1158.16	1165.04	1270.64	1212.14	1079.48
E2c	4	conv	/model.6/m.0/cv2/conv/Conv	2664.37	196.756	96.165	9748.95	1023.18	1159.73	1163.51	1217.48	1177.92	1152.88
E2c	5	conv	/model.6/m.0/m/m.0/cv1/conv/Conv	2976.54	1207.37	288.007	9835.16	1022.82	1195.12	1159.66	1242.11	1236.9	1142.32
E2c	6	conv	/model.6/m.0/m/m.0/cv2/conv/Conv	2944.38	1186.99	270.14	9762.6	1041.33	1166.07	1195.34	1238.94	1179.06	1148.0
E2c	7	add_silu	/model.6/m.0/m/m.0/Add	241.549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E2c	8	conv	/model.6/m.0/m/m.1/cv1/conv/Conv	2924.96	1188.28	248.874	9662.27	1066.41	1166.05	1167.81	1217.67	1178.72	1048.68
E2c	9	conv	/model.6/m.0/m/m.1/cv2/conv/Conv	2891.67	1183.15	266.712	9532.95	1023.03	1152.79	1166.08	1214.96	1181.97	1056.47
E2c	10	add_silu	/model.6/m.0/m/m.1/Add	222.131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E2c	11	concat	/model.6/m.0/Concat	6.834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E2c	12	conv	/model.6/m.0/cv3/conv/Conv	5243.11	285.301	206.677	19562.5	2076.03	2295.58	2331.38	2454.34	2359.68	2349.79
