surface	samples	mean_us	stddev_us	cv_pct	min_us	max_us	median_us	p90_us	p95_us	p99_us	process_cpu_mean_us	repeat_mean_cv_pct
custom_region_current	500.000000	3486.791710	355.943378	10.208335	3353.358000	10942.370000	3455.566500	3505.020600	3535.981300	3997.297900	12841.966070	1.194117
custom_combined_current	500.000000	21291.574972	322.478181	1.514581	20936.235000	24032.799000	21233.363000	21388.914000	21557.953900	22993.508000	79038.414598	0.068684
custom_region_selected_rr	500.000000	3455.120892	83.929412	2.429131	3341.703000	4891.594000	3447.474500	3496.095700	3514.509150	3653.350400	12881.133370	0.348227
custom_combined_selected_rr	500.000000	20973.341840	319.163306	1.521757	20668.343000	24365.215000	20924.825000	21085.222700	21161.386150	22344.162000	78340.774204	0.098294
ort_region	5	19115.925104	8.459790	0.044255	19102.245830	19124.862110	19116.518150	19123.025770	19123.943940	not-reported	76434.981548	0.044255
ort_combined	5	77055.672360	182.854503	0.237302	76923.127630	77348.907790	76955.839090	77257.776930	77303.342360	not-reported	307967.492068	0.237302
