surface	event	worker_counter	status	errno	count	time_enabled	time_running	scale
op2	cache_misses	3	unmapped-or-unsupported	0	0	10329917	0	0
op5	cache_misses	0	unmapped-or-unsupported	0	0	2835167	0	0
op5	cache_misses	1	unmapped-or-unsupported	0	0	2942125	0	0
op5	cache_misses	2	unmapped-or-unsupported	0	0	2876209	0	0
op5	cache_misses	3	unmapped-or-unsupported	0	0	2899001	0	0
op0	cache_misses	0	unmapped-or-unsupported	0	0	383458	0	0
op0	cache_misses	1	unmapped-or-unsupported	0	0	384958	0	0
op0	cache_misses	2	unmapped-or-unsupported	0	0	388167	0	0
op0	cache_misses	3	unmapped-or-unsupported	0	0	385333	0	0
op7	cache_misses	0	unmapped-or-unsupported	0	0	183791	0	0
op7	cache_misses	1	unmapped-or-unsupported	0	0	182416	0	0
op7	cache_misses	2	unmapped-or-unsupported	0	0	185292	0	0
op7	cache_misses	3	unmapped-or-unsupported	0	0	177667	0	0
op11	cache_misses	0	unmapped-or-unsupported	0	0	0	0	0
op11	cache_misses	1	unmapped-or-unsupported	0	0	0	0	0
op11	cache_misses	2	unmapped-or-unsupported	0	0	0	0	0
op11	cache_misses	3	unmapped-or-unsupported	0	0	0	0	0
