surface	samples	mean_us	stddev_us	cv_pct	min_us	max_us	median_us	p90_us	p95_us	p99_us	process_cpu_mean_us	repeat_mean_cv_pct
E1_model5_M12	500.000000	4846.126106	380.669262	7.855125	4701.939000	12016.708000	4808.983500	4882.885100	4912.114900	5696.816300	18729.536474	1.224783
E2c_model5_M12	500.000000	3658.164866	102.380770	2.798692	3537.901000	5466.378000	3653.467500	3697.057000	3714.321250	3789.215400	14035.230272	0.356047
E1_slice_M12	500.000000	27001.599444	450.885368	1.669847	26667.490000	33916.126000	26936.451500	27071.166800	27168.758550	29291.348000	101689.065464	0.152562
E2c_slice_M12	500.000000	17828.345456	645.070602	3.618230	17532.572000	26221.130000	17732.413000	17864.626500	18081.240500	19522.404000	66107.692434	0.433833
E1_model5_M8	500.000000	5386.734250	232.808231	4.321881	5112.869000	8864.196000	5376.336000	5485.394400	5516.263200	5857.737100	21002.562528	0.341458
E2c_model5_M8	500.000000	4125.670654	222.597530	5.395427	3933.874000	7355.272000	4101.316500	4195.864100	4226.092450	4627.697100	16065.601410	0.736823
