graph_index	node_name	block	op_type	input_shape	output_shape	kernel	stride	padding	group	M	N	K	MACs	weight_bytes	activation_bytes	M_mod_4	M_mod_8	M_mod_12	N_mod_16	N_mod_32	K_padding_to_8	candidate_layout	candidate_kernel_class	shape_class
606	/model.13/m.0/m/m.1/cv1/conv/Conv	model.13	Conv	1x32x40x40	1x32x40x40	3x3	1x1	1x1	1	1600	32	288	14745600	9216	409600	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
613	/model.13/m.0/m/m.1/cv2/conv/Conv	model.13	Conv	1x32x40x40	1x32x40x40	3x3	1x1	1x1	1	1600	32	288	14745600	9216	409600	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
622	/model.13/m.0/cv3/conv/Conv	model.13	Conv	1x64x40x40	1x64x40x40	1x1	1x1	0x0	1	1600	64	64	6553600	4096	819200	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
630	/model.13/cv2/conv/Conv	model.13	Conv	1x192x40x40	1x128x40x40	1x1	1x1	0x0	1	1600	128	192	39321600	24576	2048000	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
639	/model.16/cv1/conv/Conv	model.16	Conv	1x256x80x80	1x64x80x80	1x1	1x1	0x0	1	6400	64	256	104857600	16384	8192000	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_high_resolution
647	/model.16/m.0/cv1/conv/Conv	model.16	Conv	1x32x80x80	1x16x80x80	1x1	1x1	0x0	1	6400	16	32	3276800	512	1228800	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_high_resolution
648	/model.16/m.0/cv2/conv/Conv	model.16	Conv	1x32x80x80	1x16x80x80	1x1	1x1	0x0	1	6400	16	32	3276800	512	1228800	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_high_resolution
659	/model.16/m.0/m/m.0/cv1/conv/Conv	model.16	Conv	1x16x80x80	1x16x80x80	3x3	1x1	1x1	1	6400	16	144	14745600	2304	819200	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
666	/model.16/m.0/m/m.0/cv2/conv/Conv	model.16	Conv	1x16x80x80	1x16x80x80	3x3	1x1	1x1	1	6400	16	144	14745600	2304	819200	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
674	/model.16/m.0/m/m.1/cv1/conv/Conv	model.16	Conv	1x16x80x80	1x16x80x80	3x3	1x1	1x1	1	6400	16	144	14745600	2304	819200	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
