block	initializer	dtype	shape	element_count	bytes	raw_sha256
model6	model.6.m.0.m.0.cv1.conv.weight_scale	float32	32	32	128	a287f3adc994cab8875ade5545a16b3f39ba3af7cfc27857129293da64e25487
model6	model.6.m.0.m.0.cv1.conv.weight_zero_point	int8	32	32	32	66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925
model6	model.6.m.0.m.0.cv2.conv.bias_quantized	int32	32	32	128	22947585abb4ac83eed566cffc6a7dbb4fe8335ccd4fbcc0ffc96154209b0090
model6	model.6.m.0.m.0.cv2.conv.bias_quantized_scale	float32	32	32	128	da37e3f51c49f51a8a151568116186c174a6d4391decca8ab0649e8a96319da8
model6	model.6.m.0.m.0.cv2.conv.bias_quantized_zero_point	int32	32	32	128	38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca
model6	model.6.m.0.m.0.cv2.conv.weight_quantized	int8	32x32x3x3	9216	9216	da8567e8e4e58156a8a38f2c7c05adafa2f4f1ed42a092502e96661994436a5f
model6	model.6.m.0.m.0.cv2.conv.weight_scale	float32	32	32	128	6512307846f5cf07bc8506f746316228e89ab892983fe15f595d295681d92122
model6	model.6.m.0.m.0.cv2.conv.weight_zero_point	int8	32	32	32	66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925
model6	model.6.m.0.m.1.cv1.conv.bias_quantized	int32	32	32	128	90111a9a5f6277c351edd00a32d11dbaf0bea5f4e720594f3fe592da8989425f
model6	model.6.m.0.m.1.cv1.conv.bias_quantized_scale	float32	32	32	128	edaee2859cf9d8b781cfb8b02132be59df5a1636cc556cdad68c4aa51762ae0d
model6	model.6.m.0.m.1.cv1.conv.bias_quantized_zero_point	int32	32	32	128	38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca
model6	model.6.m.0.m.1.cv1.conv.weight_quantized	int8	32x32x3x3	9216	9216	5a70656c43e2b4517153ee617e03bd6d2a4535c34f704d85bf74914f8fef7992
model6	model.6.m.0.m.1.cv1.conv.weight_scale	float32	32	32	128	5874e859a31b8abc451df34991c5586e8a403a1b7ac4c868abc55ab26d14dc3d
model6	model.6.m.0.m.1.cv1.conv.weight_zero_point	int8	32	32	32	66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925
model6	model.6.m.0.m.1.cv2.conv.bias_quantized	int32	32	32	128	62c5ee83e610d148cdf4f9fd8987a55098c4a3cdf39da069c0fbe049c025788e
model6	model.6.m.0.m.1.cv2.conv.bias_quantized_scale	float32	32	32	128	8602ff3f1238ef832da24f455e54e46aa90d603f7fa15d7ba40d2676ca9c8ece
model6	model.6.m.0.m.1.cv2.conv.bias_quantized_zero_point	int32	32	32	128	38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca
model6	model.6.m.0.m.1.cv2.conv.weight_quantized	int8	32x32x3x3	9216	9216	63af3214855169a0bf3c8fc70cfa094cbb17e5d3e19047d1adda10af142d6d35
model6	model.6.m.0.m.1.cv2.conv.weight_scale	float32	32	32	128	bfdc347910ff3b3ccc0dc2ad52b287ed8ccacec9150828c3f81b018a1feecf51
model6	model.6.m.0.m.1.cv2.conv.weight_zero_point	int8	32	32	32	66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925
