fixture_id	label	fixture_class	source_path	source_sha256	input_npy	input_npy_sha256	input_raw_sha256	input_dtype	input_shape	decode_library	source_shape	resize	ratio	padding	channel_order	normalization
F0	accepted_stage42_synthetic_seeded	full_model_input	/data/banana-yolo26-spacemit-demo/.deps/custom_int8_engine/stage41_inprocess_runner/synthetic_seeded/full_reference/images.npy	46908132cf9e04ee14d1702ce99f583255b3a0de0a9b3e74d0f277ab9d8e09b7	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F0/images.npy	46908132cf9e04ee14d1702ce99f583255b3a0de0a9b3e74d0f277ab9d8e09b7	66258db024cd15bdbe0435e2eac098c159d4bc3a81a5e34921263b00add64d5c	float32	1x3x640x640	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable
F1	random_4301	direct_model4_preact_uint8			/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F1/model4_preact_input.npy	64f5c3c8e20bc7695bccd264722ad224c0df9d99fae761813b246a2c99294dfe	7891576d19093f4cec83b3594ea766d9032bfce6daf55cc17e6778580a1c0905	uint8	1x128x80x80	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable
F2	random_4302	direct_model4_preact_uint8			/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F2/model4_preact_input.npy	f27371b55fabdc4870bbeddf637d57b7e8f681652ce0ecac3f59a8e2a5f98f91	0007ff896cb2ba49c91ba37af5c21f334d7f100f6f56a154c6fb947d82ef2246	uint8	1x128x80x80	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable
F3	zero_point_structured	direct_model4_preact_uint8			/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F3/model4_preact_input.npy	140766de6968f0e4c508b962b17e979a3651600006c942dcb88430bf8f4f2d88	3c11471a5add68273420b83a4defb956f6192d937ad2c529c729a816084196e6	uint8	1x128x80x80	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable
F4	edge_saturation	direct_model4_preact_uint8			/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F4/model4_preact_input.npy	6ed96acfe4d5199a9644c3f3d44f9dfecc479a4afd2cd4602b922c6ecf4984a1	090acc3db975b2e9bf9c0b8b545ff6b7dfa083beee9311c67f8bbcd4a42d9742	uint8	1x128x80x80	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable
F5	canonical	full_model_input	/data/banana-yolo26-spacemit-demo/.deps/images/oracle/canonical_photo.jpg	4af1d821413a058744a01a9d2b20d91afa705afb9a8b98010d8f1193bd907639	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F5/images.npy	f14a7ff36a2e32e5167a62b86619e35dd1a9c3a401a7cc5b6df7b552da35056d	db87cbf5e3f43ee122f2617d08c7921f4f660dab9533470642e42a14985ba4ed	float32	1x3x640x640	opencv-python 4.13.0	960x1280x3	480x640	0.5	0,80,0,80	BGR-decode to RGB	float32 / 255.0
F6	bus	full_model_input	/data/banana-yolo26-spacemit-demo/.deps/images/oracle/ultralytics_bus.jpg	c02019c4979c191eb739ddd944445ef408dad5679acab6fd520ef9d434bfbc63	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F6/images.npy	e2fedaeae6235bc04c0b962fea3120dbc3bd2bc263b181213ef98c8a8140f522	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	float32	1x3x640x640	opencv-python 4.13.0	1080x810x3	640x480	0.592592592593	80,0,80,0	BGR-decode to RGB	float32 / 255.0
F7	zidane	full_model_input	/data/banana-yolo26-spacemit-demo/.deps/images/oracle/ultralytics_zidane.jpg	16d73869e3267a7d4ed00de8e860833bd1657c1b252e94c0c348277adc7b6edb	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F7/images.npy	2ce045cb6748aa7f013543a0b0e3af4b918b9c5cced458c403f1b53a6afe4a3f	a6c0d7d9e5403eec51446a5a61daa1e93bb746bc3692e8b743b41ed271812c48	float32	1x3x640x640	opencv-python 4.13.0	720x1280x3	360x640	0.5	0,140,0,140	BGR-decode to RGB	float32 / 255.0
