profile	profile_sha256	event_name	node_index	op_name	provider
model5_ort_only_2026-07-11_07-28-01.json	8ea81cdc39808f537368cc00950b2156ab61961b8cc2da3a3c82914d5a0997ed	Transpose_token_0_kernel_time	12	Transpose	CPUExecutionProvider
model5_ort_only_2026-07-11_07-28-01.json	8ea81cdc39808f537368cc00950b2156ab61961b8cc2da3a3c82914d5a0997ed	/model.5/conv/Conv_output_0_DequantizeLinear/duplicated_kernel_time	9	DequantizeLinear	CPUExecutionProvider
model5_ort_only_2026-07-11_07-28-01.json	8ea81cdc39808f537368cc00950b2156ab61961b8cc2da3a3c82914d5a0997ed	/model.5/conv/Conv_output_0_DequantizeLinear_kernel_time	5	DequantizeLinear	CPUExecutionProvider
model5_ort_only_2026-07-11_07-28-01.json	8ea81cdc39808f537368cc00950b2156ab61961b8cc2da3a3c82914d5a0997ed	/model.5/act/Sigmoid_kernel_time	6	Sigmoid	CPUExecutionProvider
model5_ort_only_2026-07-11_07-28-01.json	8ea81cdc39808f537368cc00950b2156ab61961b8cc2da3a3c82914d5a0997ed	/model.5/act/Mul_kernel_time	7	Mul	CPUExecutionProvider
model5_ort_only_2026-07-11_07-28-01.json	8ea81cdc39808f537368cc00950b2156ab61961b8cc2da3a3c82914d5a0997ed	/model.5/act/Mul_output_0_QuantizeLinear_kernel_time	8	QuantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	Transpose_kernel_time	111	Transpose	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv1/conv/Conv_token_3_kernel_time	113	QLinearConv	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv1/conv/Conv_output_0_DequantizeLinear/duplicated_kernel_time	84	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv1/conv/Conv_output_0_DequantizeLinear_kernel_time	21	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv1/act/Sigmoid_kernel_time	22	Sigmoid	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv1/act/Mul_kernel_time	23	Mul	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv1/act/Mul_output_0_q_kernel_time	97	QuantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/Split_kernel_time	102	Split	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/Split_output_0_dq_kernel_time	100	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/Split_output_1_DequantizeLinear/duplicated_token_1_kernel_time	86	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv1/conv/Conv_token_7_kernel_time	116	QLinearConv	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv1/conv/Conv_output_0_DequantizeLinear/duplicated_kernel_time	87	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv1/conv/Conv_output_0_DequantizeLinear_kernel_time	31	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv1/act/Sigmoid_kernel_time	33	Sigmoid	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv1/act/Mul_kernel_time	35	Mul	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_kernel_time	37	QuantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv1/act/Mul_output_0_DequantizeLinear/duplicated_kernel_time	88	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.0/cv1/conv/Conv_token_11_kernel_time	119	QLinearConv	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.0/cv1/conv/Conv_output_0_DequantizeLinear/duplicated_kernel_time	89	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.0/cv1/conv/Conv_output_0_DequantizeLinear_kernel_time	41	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.0/cv1/act/Sigmoid_kernel_time	42	Sigmoid	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.0/cv1/act/Mul_kernel_time	43	Mul	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_kernel_time	44	QuantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.0/cv2/conv/Conv_token_15_kernel_time	122	QLinearConv	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.0/cv2/conv/Conv_output_0_DequantizeLinear/duplicated_kernel_time	90	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.0/cv2/conv/Conv_output_0_DequantizeLinear_kernel_time	48	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.0/cv2/act/Sigmoid_kernel_time	49	Sigmoid	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.0/cv2/act/Mul_kernel_time	50	Mul	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.0/Add_kernel_time	51	Add	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.0/Add_output_0_QuantizeLinear_kernel_time	52	QuantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.0/Add_output_0_DequantizeLinear/duplicated_kernel_time	91	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.1/cv1/conv/Conv_token_19_kernel_time	125	QLinearConv	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.1/cv1/conv/Conv_output_0_DequantizeLinear/duplicated_kernel_time	92	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.1/cv1/conv/Conv_output_0_DequantizeLinear_kernel_time	56	DequantizeLinear	CPUExecutionProvider
