block	cut_path	cut_sha256	node_count	first_node	last_node	operator_mix	conv_count	conv_nodes	input_name	output_name
model5	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/cuts/model5_isolated_quantized.onnx	f37a4426054496c34534e5f88c1add2bb2ce738f61e4aed00d2df9c4f218e4e0	9	model.5.conv.bias_DequantizeLinear	/model.5/act/Mul_output_0_QuantizeLinear	Conv:1,DequantizeLinear:4,Mul:1,QuantizeLinear:2,Sigmoid:1	1	/model.5/conv/Conv	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	/model.5/act/Mul_output_0_QuantizeLinear_Output
model6	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/cuts/model6_isolated_quantized.onnx	596434d51e8e4da57e2b60ee22eb85d4befa939c9f613aba96705f3810aadc20	85	Constant_94	/model.6/cv2/act/Mul_output_0_QuantizeLinear	Add:2,Concat:2,Constant:1,Conv:9,DequantizeLinear:35,Mul:9,QuantizeLinear:17,Sigmoid:9,Split:1	9	/model.6/cv1/conv/Conv,/model.6/m.0/cv1/conv/Conv,/model.6/m.0/cv2/conv/Conv,/model.6/m.0/m/m.0/cv1/conv/Conv,/model.6/m.0/m/m.0/cv2/conv/Conv,/model.6/m.0/m/m.1/cv1/conv/Conv,/model.6/m.0/m/m.1/cv2/conv/Conv,/model.6/m.0/cv3/conv/Conv,/model.6/cv2/conv/Conv	/model.5/act/Mul_output_0_QuantizeLinear_Output	/model.6/cv2/act/Mul_output_0_QuantizeLinear_Output
model7	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/cuts/model7_isolated_quantized.onnx	1f162b5ee6cf39ccd868fa52e771f3f0ff834e3507efc27c0e700f3ced6b3f19	9	model.7.conv.bias_DequantizeLinear	/model.7/act/Mul_output_0_QuantizeLinear	Conv:1,DequantizeLinear:4,Mul:1,QuantizeLinear:2,Sigmoid:1	1	/model.7/conv/Conv	/model.6/cv2/act/Mul_output_0_QuantizeLinear_Output	/model.7/act/Mul_output_0_QuantizeLinear_Output
model8	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/cuts/model8_isolated_quantized.onnx	fb20321de452c2a27ef945fffb2738a2f29e7ddf97140523f120574641ecd43c	85	Constant_130	/model.8/cv2/act/Mul_output_0_QuantizeLinear	Add:2,Concat:2,Constant:1,Conv:9,DequantizeLinear:35,Mul:9,QuantizeLinear:17,Sigmoid:9,Split:1	9	/model.8/cv1/conv/Conv,/model.8/m.0/cv1/conv/Conv,/model.8/m.0/cv2/conv/Conv,/model.8/m.0/m/m.0/cv1/conv/Conv,/model.8/m.0/m/m.0/cv2/conv/Conv,/model.8/m.0/m/m.1/cv1/conv/Conv,/model.8/m.0/m/m.1/cv2/conv/Conv,/model.8/m.0/cv3/conv/Conv,/model.8/cv2/conv/Conv	/model.7/act/Mul_output_0_QuantizeLinear_Output	/model.8/cv2/act/Mul_output_0_QuantizeLinear_Output
