fixture_id	tensor_name	dtype	shape	layout	scale	zero_point	npy_path	npy_sha256	raw_path	raw_sha256	element_count	min	max	mean	sum	isolated_cut_replay
F1	/model.7/act/Mul_output_0_QuantizeLinear_Output	uint8	1x256x20x20	NCHW	0.0341685414314	8	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F1/model.7__act__Mul_output_0_QuantizeLinear_Output.npy	79d89d0700b84991d3db015d0fe343b310b4088f99cdb00b69f4937a332912a7	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F1/model.7__act__Mul_output_0_QuantizeLinear_Output.bin	999380f996863347ddc562971b0eb2713c24e9bcefd6453dee26d545a390a346	102400	0.0	254.0	18.6574414063	1910522	exact
F1	/model.8/cv2/act/Mul_output_0_QuantizeLinear_Output	uint8	1x256x20x20	NCHW	0.0326153002679	9	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F1/model.8__cv2__act__Mul_output_0_QuantizeLinear_Output.npy	1575aa7a228a44407b96fa2294dca874c36e52b7ceb8e4f4a85f1da317230856	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F1/model.8__cv2__act__Mul_output_0_QuantizeLinear_Output.bin	2803719bda312222d5508459172fd75e55a31a4150fd58ce09adc455758dc291	102400	0.0	180.0	14.9539257812	1531282	exact
F2	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	NCHW	0.0660646632314	142	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F2/model.4__cv2__conv__Conv_output_0_QuantizeLinear_Output.npy	f27371b55fabdc4870bbeddf637d57b7e8f681652ce0ecac3f59a8e2a5f98f91	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F2/model.4__cv2__conv__Conv_output_0_QuantizeLinear_Output.bin	0007ff896cb2ba49c91ba37af5c21f334d7f100f6f56a154c6fb947d82ef2246	819200	0.0	255.0	127.477227783	104429345	exact
F2	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	uint8	1x128x80x80	NCHW	0.0302984528244	9	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F2/model.4__cv2__act__Mul_output_0_QuantizeLinear_Output.npy	3b9991f852cb35a7768254a2ee85e8a697ca35e5093a1c403bf6cd4897af3f9f	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F2/model.4__cv2__act__Mul_output_0_QuantizeLinear_Output.bin	6b87c7587b1b552add5e7ff1f2b326afb0c9b7e06ddc6a9bf45f88f104831afe	819200	0.0	255.0	60.6920898437	49718960	exact
F2	/model.5/act/Mul_output_0_QuantizeLinear_Output	uint8	1x128x40x40	NCHW	0.0277278888971	10	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F2/model.5__act__Mul_output_0_QuantizeLinear_Output.npy	86f6ccdc326e19252a0a50276f2efc3d11e03afac82f840ac641ac85223ddca8	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F2/model.5__act__Mul_output_0_QuantizeLinear_Output.bin	26f688f195f2c14ea37dcc090b6306bded19e7d3b00c5c8906c2631ad08cabbb	204800	0.0	255.0	56.8203857422	11636815	exact
F2	/model.6/cv2/act/Mul_output_0_QuantizeLinear_Output	uint8	1x128x40x40	NCHW	0.0280377771705	10	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F2/model.6__cv2__act__Mul_output_0_QuantizeLinear_Output.npy	eda3ad643bf880eda3f90250f090d00c39e878181b34971f4344d27b9d1be5c3	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F2/model.6__cv2__act__Mul_output_0_QuantizeLinear_Output.bin	01451be9c66e98f2019dc2951273a761462db1294f9ab34316dafa45d5f89604	204800	0.0	255.0	18.0504199219	3696726	exact
F2	/model.7/act/Mul_output_0_QuantizeLinear_Output	uint8	1x256x20x20	NCHW	0.0341685414314	8	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F2/model.7__act__Mul_output_0_QuantizeLinear_Output.npy	edad67f3cc20b0e6526699b54e3e6c49930b9337ed1cd0ef39c50a472dd3de2b	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F2/model.7__act__Mul_output_0_QuantizeLinear_Output.bin	a67a4f7febe18f4d1067e5c255b42f89617547e1671bc14967b37a7c3a1a040b	102400	0.0	254.0	18.852109375	1930456	exact
F2	/model.8/cv2/act/Mul_output_0_QuantizeLinear_Output	uint8	1x256x20x20	NCHW	0.0326153002679	9	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F2/model.8__cv2__act__Mul_output_0_QuantizeLinear_Output.npy	db56991dbe92aa080608eaf81123a3cd39675ca7d8671ac708060197fefbc6d5	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F2/model.8__cv2__act__Mul_output_0_QuantizeLinear_Output.bin	75aa7e2200efca7847989bf5f3b355d3ba7b1058cf87e8d4575147dc21fd282e	102400	0.0	180.0	14.9411621094	1529975	exact
F3	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	NCHW	0.0660646632314	142	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F3/model.4__cv2__conv__Conv_output_0_QuantizeLinear_Output.npy	140766de6968f0e4c508b962b17e979a3651600006c942dcb88430bf8f4f2d88	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F3/model.4__cv2__conv__Conv_output_0_QuantizeLinear_Output.bin	3c11471a5add68273420b83a4defb956f6192d937ad2c529c729a816084196e6	819200	134.0	150.0	141.999985352	116326388	exact
F3	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	uint8	1x128x80x80	NCHW	0.0302984528244	9	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F3/model.4__cv2__act__Mul_output_0_QuantizeLinear_Output.npy	d56f138604376f80b30b465047d124c217395046d7a70c9b0cd9168ebd2f619c	/data/ncnn-logs/ai-team/2026-07-11/2026-07-11_05-05-08__codex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE43-CONTIGUOUS-MODEL5-8-ISLAND-ORACLE-AND-FIRST-BLOCK-GATE-001__stage43-model5-8-island/artifacts/model5_8_oracle_v2/fixtures/F3/model.4__cv2__act__Mul_output_0_QuantizeLinear_Output.bin	303a7ded9337c209ffa48f403f932d6ad2f10576fd2e0135374e88bf42fb9ea0	819200	3.0	20.0	9.66665283203	7918922	exact
