threads	repeat	wall_us	process_cpu_us
1	0	18206.777080	18185.093690
1	1	18143.705310	18139.069520
1	2	18153.092360	18147.524520
1	3	18182.189180	18173.500340
1	4	18163.090810	18156.199920
2	0	13141.659070	26252.502380
2	1	13133.014710	26246.385720
2	2	13129.076260	26282.426580
2	3	13141.247930	26254.891550
2	4	13142.760540	26296.458230
4	0	11721.999290	46864.294390
4	1	11667.900320	46571.180260
4	2	11742.290560	46998.571050
4	3	11697.856880	46725.950670
4	4	11675.562160	46699.441520
