repeat	path_a_us	path_b_us	delta_us	path_a_cpu_us	path_b_cpu_us
0	512575.728070	521571.107960	8995.379890	1234341.727080	1234129.584650
1	512025.307950	521789.255840	9763.947890	1233962.893890	1234734.971930
2	512290.886070	521474.676720	9183.790650	1234460.856060	1235267.138410
3	511945.066070	521723.628870	9778.562800	1233725.947210	1234429.559000
4	512671.253790	521457.356860	8786.103070	1234574.856340	1235513.626520
