threads	protocol	mean_us	stddev_us	cv_pct	process_cpu_mean_us
1	warmup2_runs5_repeats2	800406.864300	234.287245	0.029271	800177.600700
2	warmup2_runs5_repeats2	562025.417700	1126.657135	0.200464	1123238.282400
4	warmup2_runs5_repeats2	466174.297100	7969.132881	1.709475	1858189.043400
4	warmup10_runs100_repeats5	462144.181262	318.102289	0.068832	1847774.941278
