repeat	R0_us	R2a_us	delta_us
0	24630.2	24158.6	-471.553
1	24669.4	24179.1	-490.386
2	24613.3	24151.9	-461.351
3	24629.3	24154.4	-474.869
4	24637.9	24142.8	-495.115
