threads	mean_us	stddev_us	cv_pct	min_us	max_us	median_us	p90_us	p95_us	process_cpu_mean_us
1	18169.770948	25.129083	0.138302	18143.705310	18206.777080	18163.090810	18196.941920	18201.859500	18160.277598
2	13137.551702	6.125398	0.046625	13129.076260	13142.760540	13141.247930	13142.319952	13142.540246	26266.532892
4	11701.121842	31.218416	0.266798	11667.900320	11742.290560	11697.856880	11734.174052	11738.232306	46771.887578
