fixture	board_r2a_mismatches	max_abs_diff	sha256
F0	0	0	c65bc733396dc788bf3ee9861f3c9a6fbffc6793009a07b2ae324eb61644a1b2
F1	0	0	3e65c159dc3745cc91bf7be8cf417b6a802218a62659a948d42c341cef8ad20c
F2	0	0	6786c67dfd7c5dbd266271a6efae011dfbbe76ada3c9a584f7a82f9b07772df8
F3	0	0	aa117a06c874b5e0f8f06180aa96db4cd76a1aba8766f8bbb9a70ec7ddd1efb1
F4	0	0	2f6372bc7d79253fef08e6f0e4ff3e701be69d18f9f26a0c61d5c87c212d33f9
F5	0	0	a03f38089dd81af3d80d1a3778ca085e3c4ec27ec78fed344a3c121511dd5c04
F6	0	0	3f94a6f32e21747a91aa94eea4a04b88f60079efe1bfd0d427f33bc98211e4f8
F7	0	0	0efbc571bdbc0dd7ed0c4d6471c31fbeda24a30085f80f576705ed9a024c7df7
F0_workers1	0	0	c65bc733396dc788bf3ee9861f3c9a6fbffc6793009a07b2ae324eb61644a1b2
F0_workers2	0	0	c65bc733396dc788bf3ee9861f3c9a6fbffc6793009a07b2ae324eb61644a1b2
F0_workers3	0	0	c65bc733396dc788bf3ee9861f3c9a6fbffc6793009a07b2ae324eb61644a1b2
F0_workers4	0	0	c65bc733396dc788bf3ee9861f3c9a6fbffc6793009a07b2ae324eb61644a1b2
