phase	repeat	path_a_us	path_b_us	delta_us
pre_repair_R0	0	512575.728070	521571.107960	8995.379890
pre_repair_R0	1	512025.307950	521789.255840	9763.947890
pre_repair_R0	2	512290.886070	521474.676720	9183.790650
pre_repair_R0	3	511945.066070	521723.628870	9778.562800
pre_repair_R0	4	512671.253790	521457.356860	8786.103070
final_R2a	0	510848.006860	515019.064680	4171.057820
final_R2a	1	510752.782550	514995.859330	4243.076780
final_R2a	2	511234.069660	514882.570180	3648.500520
final_R2a	3	510269.315890	515491.720620	5222.404730
final_R2a	4	511218.028500	514926.913140	3708.884640
